model_name,feature_set,split,score_decile,rows,positives,negatives,positive_rate,mean_score,min_score,max_score
sequence_bilstm_unweighted,S1,test,1,170,164,6,0.9647058823529412,0.9574622932602378,0.9397629499435425,0.9669786095619202
sequence_bilstm_unweighted,S1,test,2,170,143,27,0.8411764705882353,0.9232441365718842,0.912865161895752,0.9396114945411682
sequence_bilstm_unweighted,S1,test,3,170,140,30,0.8235294117647058,0.9012209464521969,0.8892529010772705,0.9128601551055908
sequence_bilstm_unweighted,S1,test,4,170,138,32,0.8117647058823529,0.8773755006930407,0.8675916790962219,0.8892061114311218
sequence_bilstm_unweighted,S1,test,5,171,130,41,0.7602339181286549,0.8546884432870742,0.8420039415359497,0.8674433827400208
sequence_bilstm_unweighted,S1,test,6,170,146,24,0.8588235294117647,0.8271958189852098,0.8083797097206116,0.8419370651245117
sequence_bilstm_unweighted,S1,test,7,170,162,8,0.9529411764705882,0.792699695334715,0.7798676490783691,0.8077622652053833
sequence_bilstm_unweighted,S1,test,8,170,169,1,0.9941176470588236,0.7709864342913908,0.7624815106391907,0.7795740962028503
sequence_bilstm_unweighted,S1,test,9,170,170,0,1.0,0.7533543502583223,0.743390679359436,0.7624815106391907
sequence_bilstm_unweighted,S1,test,10,171,171,0,1.0,0.7325706464505335,0.7070693373680115,0.7433629035949707
sequence_bilstm_unweighted,S1,val,1,173,172,1,0.9942196531791907,0.9281984912177731,0.9162467122077942,0.9567650556564331
sequence_bilstm_unweighted,S1,val,2,173,167,6,0.9653179190751445,0.9045363798995928,0.8912851214408875,0.9162447452545166
sequence_bilstm_unweighted,S1,val,3,174,166,8,0.9540229885057471,0.8802130311384968,0.8724443912506104,0.8912838101387024
sequence_bilstm_unweighted,S1,val,4,173,151,22,0.8728323699421965,0.8652154238237811,0.8575856685638428,0.8723048567771912
sequence_bilstm_unweighted,S1,val,5,174,152,22,0.8735632183908046,0.8500715107068249,0.8432053923606873,0.8575856685638428
sequence_bilstm_unweighted,S1,val,6,173,143,30,0.8265895953757225,0.835477160925121,0.8271086812019348,0.8430124521255493
sequence_bilstm_unweighted,S1,val,7,173,130,43,0.7514450867052023,0.8188587254871523,0.8095303773880005,0.8270965218544006
sequence_bilstm_unweighted,S1,val,8,174,134,40,0.7701149425287356,0.7983528786692126,0.7885778546333313,0.8093507885932922
sequence_bilstm_unweighted,S1,val,9,173,134,39,0.7745664739884393,0.7770251790223094,0.7647255659103394,0.7885246872901917
sequence_bilstm_unweighted,S1,val,10,174,162,12,0.9310344827586207,0.7407703546957037,0.7024849057197571,0.7647029161453247
