model_name,feature_set,split,score_decile,rows,positives,negatives,positive_rate,mean_score,min_score,max_score
sequence_cnn_balanced_train_weights,S1,test,1,170,165,5,0.9705882352941176,0.9413665238548727,0.8872234225273132,0.9597501754760742
sequence_cnn_balanced_train_weights,S1,test,2,170,111,59,0.6529411764705882,0.599220009060467,0.45670124888420105,0.8685466647148132
sequence_cnn_balanced_train_weights,S1,test,3,170,136,34,0.8,0.403305547728258,0.36734724044799805,0.4564647972583771
sequence_cnn_balanced_train_weights,S1,test,4,170,150,20,0.8823529411764706,0.3430279232123319,0.3210632801055908,0.3672172427177429
sequence_cnn_balanced_train_weights,S1,test,5,171,162,9,0.9473684210526315,0.3083746227604604,0.2944020628929138,0.3210632801055908
sequence_cnn_balanced_train_weights,S1,test,6,170,160,10,0.9411764705882353,0.2761732404722887,0.25971925258636475,0.29415643215179443
sequence_cnn_balanced_train_weights,S1,test,7,170,159,11,0.9352941176470588,0.24333880193093244,0.22886480391025543,0.2594172954559326
sequence_cnn_balanced_train_weights,S1,test,8,170,163,7,0.9588235294117647,0.2135548224343973,0.19600123167037964,0.2286420464515686
sequence_cnn_balanced_train_weights,S1,test,9,170,162,8,0.9529411764705882,0.1756631067570518,0.15333454310894012,0.19597633183002472
sequence_cnn_balanced_train_weights,S1,test,10,171,165,6,0.9649122807017544,0.12604024348377485,0.05651208758354187,0.15333454310894012
sequence_cnn_balanced_train_weights,S1,val,1,173,156,17,0.9017341040462428,0.6948372518396102,0.5215343236923218,0.9315216541290283
sequence_cnn_balanced_train_weights,S1,val,2,173,151,22,0.8728323699421965,0.46933465283041054,0.42643484473228455,0.5214886665344238
sequence_cnn_balanced_train_weights,S1,val,3,174,157,17,0.9022988505747126,0.4002373888232242,0.3770093023777008,0.4255889356136322
sequence_cnn_balanced_train_weights,S1,val,4,173,152,21,0.8786127167630058,0.3593249327874597,0.3408766984939575,0.3766810894012451
sequence_cnn_balanced_train_weights,S1,val,5,174,158,16,0.9080459770114943,0.327512677544835,0.3142111301422119,0.3408675789833069
sequence_cnn_balanced_train_weights,S1,val,6,173,155,18,0.8959537572254336,0.30187590411632736,0.2893652021884918,0.31390833854675293
sequence_cnn_balanced_train_weights,S1,val,7,173,147,26,0.8497109826589595,0.27296826674069974,0.25655582547187805,0.2893165647983551
sequence_cnn_balanced_train_weights,S1,val,8,174,155,19,0.8908045977011494,0.23953903577793603,0.21945515275001526,0.2559298872947693
sequence_cnn_balanced_train_weights,S1,val,9,173,149,24,0.861271676300578,0.1982287348522616,0.17513012886047363,0.21895697712898254
sequence_cnn_balanced_train_weights,S1,val,10,174,131,43,0.7528735632183908,0.13529379588776622,0.03340177610516548,0.1749965399503708
