model_name,feature_set,split,genome,rows,positives,negatives,positive_rate,auprc,auroc,mean_score_positive,mean_score_negative,mean_score
tabular_mlp_balanced_train_weights,F3,test,hg19,1446,1431,15,0.9896265560165975,0.9907440186997705,0.46135569531795945,0.6190190959293629,0.6590681817521699,0.6194345428777321
tabular_mlp_balanced_train_weights,F3,test,hg38,176,96,80,0.5454545454545454,0.5093110819040404,0.43528645833333335,0.3760104302364617,0.42858565658262665,0.39990826039380933
tabular_mlp_balanced_train_weights,F3,test,mm10,80,6,74,0.075,0.2089131076850375,0.7207207207207207,0.3904156936905611,0.23456533929269585,0.2462541158725357
tabular_mlp_balanced_train_weights,F3,val,hg19,1368,1353,15,0.9890350877192983,0.9952799885359374,0.7529933481152994,0.6405124927186485,0.38709666252432223,0.6377338103700265
tabular_mlp_balanced_train_weights,F3,val,hg38,333,155,178,0.46546546546546547,0.4794865427650079,0.5195723088075389,0.24009327997977536,0.23530082373909164,0.23753154661388437
tabular_mlp_balanced_train_weights,F3,val,mm10,22,1,21,0.045454545454545456,0.2,0.8095238095238095,0.12032707098253806,0.08126134177266663,0.0830370567367517
tabular_mlp_balanced_train_weights,F3,val,rn5,11,2,9,0.18181818181818182,0.6666666666666666,0.7777777777777778,0.1642896769617394,0.07867128494737162,0.09423826531362031
tabular_mlp_balanced_train_weights,F4,test,hg19,1446,1431,15,0.9896265560165975,0.9845050065260855,0.2822268809690193,0.6224574128878688,0.8418592711965143,0.6247333657748879
tabular_mlp_balanced_train_weights,F4,test,hg38,176,96,80,0.5454545454545454,0.5439244868032664,0.48476562500000003,0.42226163649442183,0.4371932317712025,0.4290487252565949
tabular_mlp_balanced_train_weights,F4,test,mm10,80,6,74,0.075,0.12193086536940356,0.6486486486486487,0.3647515441843277,0.2928569302953798,0.29824902633705086
tabular_mlp_balanced_train_weights,F4,val,hg19,1368,1353,15,0.9890350877192983,0.9919762240919132,0.6662232076866224,0.6355152862147173,0.44756575810607196,0.6334544361258067
tabular_mlp_balanced_train_weights,F4,val,hg38,333,155,178,0.46546546546546547,0.5368759073282927,0.568865530989489,0.3207245956356643,0.27023435342570296,0.2937358175174267
tabular_mlp_balanced_train_weights,F4,val,mm10,22,1,21,0.045454545454545456,0.16666666666666666,0.7619047619047619,0.30330941114897825,0.25611850469213576,0.2582635458947195
tabular_mlp_balanced_train_weights,F4,val,rn5,11,2,9,0.18181818181818182,0.7,0.8333333333333334,0.17754956169630381,0.08837913025511156,0.10459193597169197
