model_name,feature_set,split,score_decile,rows,positives,negatives,positive_rate,mean_score,min_score,max_score
tabular_mlp_balanced_train_weights,F3,test,1,170,170,0,1.0,0.996895628379751,0.9807673624596491,0.9999987718033386
tabular_mlp_balanced_train_weights,F3,test,2,170,163,7,0.9588235294117647,0.9258537384724049,0.873157661834842,0.9801074948271918
tabular_mlp_balanced_train_weights,F3,test,3,170,160,10,0.9411764705882353,0.8255322699855533,0.7752740639955149,0.8726448213162841
tabular_mlp_balanced_train_weights,F3,test,4,170,163,7,0.9588235294117647,0.7323551387828018,0.6847053215672074,0.7747920778707281
tabular_mlp_balanced_train_weights,F3,test,5,171,158,13,0.9239766081871345,0.6374448148388685,0.5961070959778005,0.6840159998240467
tabular_mlp_balanced_train_weights,F3,test,6,170,154,16,0.9058823529411765,0.5386055425651588,0.4853784252437902,0.594235360769319
tabular_mlp_balanced_train_weights,F3,test,7,170,151,19,0.888235294117647,0.4395827025428817,0.39420698000871807,0.48449452856153413
tabular_mlp_balanced_train_weights,F3,test,8,170,151,19,0.888235294117647,0.3500366238728874,0.2992916786143463,0.3932262800927609
tabular_mlp_balanced_train_weights,F3,test,9,170,149,21,0.8764705882352941,0.2424812814969433,0.18044929776873184,0.2992432266145881
tabular_mlp_balanced_train_weights,F3,test,10,171,114,57,0.6666666666666666,0.1055857972289038,0.01481220495515515,0.1799974902453566
tabular_mlp_balanced_train_weights,F3,val,1,173,172,1,0.9942196531791907,0.9709816758873379,0.9326409457835153,1.0
tabular_mlp_balanced_train_weights,F3,val,2,173,170,3,0.9826589595375722,0.8942637829628247,0.8573068747398273,0.9320797984507294
tabular_mlp_balanced_train_weights,F3,val,3,174,172,2,0.9885057471264368,0.8171232819850109,0.7775403615389116,0.8572716222469584
tabular_mlp_balanced_train_weights,F3,val,4,173,170,3,0.9826589595375722,0.7264881024006427,0.6784905793157321,0.7758324206875584
tabular_mlp_balanced_train_weights,F3,val,5,174,168,6,0.9655172413793104,0.6229401041081786,0.5621664292283164,0.6784446506535645
tabular_mlp_balanced_train_weights,F3,val,6,173,163,10,0.9421965317919075,0.5066922535843946,0.4505625804156756,0.5617294195235024
tabular_mlp_balanced_train_weights,F3,val,7,173,159,14,0.9190751445086706,0.40085913725114536,0.34797586192156393,0.44997546906835734
tabular_mlp_balanced_train_weights,F3,val,8,174,143,31,0.8218390804597702,0.29522882719354626,0.23741008308243014,0.34756167305107155
tabular_mlp_balanced_train_weights,F3,val,9,173,111,62,0.6416184971098265,0.19091686327469423,0.13915450855711037,0.2369375981950824
tabular_mlp_balanced_train_weights,F3,val,10,174,83,91,0.47701149425287354,0.08066399198808201,0.014022921740434244,0.1389666000222698
tabular_mlp_balanced_train_weights,F4,test,1,170,164,6,0.9647058823529412,0.9971108022634112,0.9853451904913592,0.999999998942775
tabular_mlp_balanced_train_weights,F4,test,2,170,160,10,0.9411764705882353,0.949255715443667,0.9079528444949727,0.9852063802715877
tabular_mlp_balanced_train_weights,F4,test,3,170,159,11,0.9352941176470588,0.8657666669909146,0.8177413792279338,0.907837366792073
tabular_mlp_balanced_train_weights,F4,test,4,170,165,5,0.9705882352941176,0.764256940762443,0.7104511857479473,0.8177385431149062
tabular_mlp_balanced_train_weights,F4,test,5,171,159,12,0.9298245614035088,0.6576220318657732,0.6108479403896806,0.7099411664465201
tabular_mlp_balanced_train_weights,F4,test,6,170,157,13,0.9235294117647059,0.5588368309932378,0.5074429244874361,0.6101176805635795
tabular_mlp_balanced_train_weights,F4,test,7,170,151,19,0.888235294117647,0.43949536565613445,0.3758182596550527,0.5057837334832886
tabular_mlp_balanced_train_weights,F4,test,8,170,147,23,0.8647058823529412,0.32964210367681657,0.28255732631688546,0.37544876869823884
tabular_mlp_balanced_train_weights,F4,test,9,170,146,24,0.8588235294117647,0.22720217455179867,0.17094979465740728,0.28069472650237315
tabular_mlp_balanced_train_weights,F4,test,10,171,125,46,0.7309941520467836,0.10477926991832488,0.004958015708139525,0.16978496229723475
tabular_mlp_balanced_train_weights,F4,val,1,173,168,5,0.9710982658959537,0.9747831580411301,0.9421617973426639,0.9999999999999987
tabular_mlp_balanced_train_weights,F4,val,2,173,171,2,0.9884393063583815,0.9052017637887902,0.8670603204942218,0.9418265541827197
tabular_mlp_balanced_train_weights,F4,val,3,174,170,4,0.9770114942528736,0.8262917589132712,0.7868487249316,0.8661491608248574
tabular_mlp_balanced_train_weights,F4,val,4,173,168,5,0.9710982658959537,0.7373268393009269,0.6845860507441591,0.7867665049100947
tabular_mlp_balanced_train_weights,F4,val,5,174,166,8,0.9540229885057471,0.6389144719479712,0.584258792068046,0.6844482762107
tabular_mlp_balanced_train_weights,F4,val,6,173,157,16,0.9075144508670521,0.5270903328839096,0.46612178433700346,0.5836320889610909
tabular_mlp_balanced_train_weights,F4,val,7,173,155,18,0.8959537572254336,0.41116095722058255,0.35608629777683865,0.46608386124999496
tabular_mlp_balanced_train_weights,F4,val,8,174,136,38,0.7816091954022989,0.30215365038703645,0.25511142666423164,0.35532031927575586
tabular_mlp_balanced_train_weights,F4,val,9,173,123,50,0.7109826589595376,0.19561310530345613,0.1396889272410084,0.25482816437050115
tabular_mlp_balanced_train_weights,F4,val,10,174,97,77,0.5574712643678161,0.08470063643889068,0.01689246176607778,0.13960216713960627
