model_name,feature_set,split,score_decile,rows,positives,negatives,positive_rate,mean_score,min_score,max_score
logistic_regression,F1,test,1,170,167,3,0.9823529411764705,0.9853922771614289,0.9721733512990737,0.9996066762359461
logistic_regression,F1,test,2,170,153,17,0.9,0.9574174127301088,0.9424969989197985,0.9720188800329638
logistic_regression,F1,test,3,170,149,21,0.8764705882352941,0.9310923675124072,0.9195535543592218,0.9424230904714783
logistic_regression,F1,test,4,170,136,34,0.8,0.9071078116722574,0.8943381484607267,0.9194864417637802
logistic_regression,F1,test,5,171,148,23,0.8654970760233918,0.8801800035840877,0.8620515555261683,0.8941204816459596
logistic_regression,F1,test,6,170,150,20,0.8823529411764706,0.8419882683985388,0.821309869302401,0.8617455559542052
logistic_regression,F1,test,7,170,148,22,0.8705882352941177,0.7973225812095349,0.7720193186529312,0.8212546947504683
logistic_regression,F1,test,8,170,154,16,0.9058823529411765,0.7444914960302527,0.7089637926267189,0.7714916717687873
logistic_regression,F1,test,9,170,161,9,0.9470588235294117,0.6645827444351812,0.614221625657985,0.7085822749004443
logistic_regression,F1,test,10,171,167,4,0.9766081871345029,0.4903005703212037,0.1408278567087046,0.6114872127908827
logistic_regression,F1,val,1,173,167,6,0.9653179190751445,0.969840551493097,0.9493336183569532,0.9999997732583384
logistic_regression,F1,val,2,173,166,7,0.9595375722543352,0.9391489106510861,0.9285470952089583,0.9492674820492151
logistic_regression,F1,val,3,174,163,11,0.9367816091954023,0.9184510874158033,0.9080932795464928,0.9283764523525346
logistic_regression,F1,val,4,173,159,14,0.9190751445086706,0.8972454788278749,0.8876816523342218,0.9080622115939
logistic_regression,F1,val,5,174,159,15,0.9137931034482759,0.8749321124310864,0.8607386626899706,0.8876720644804846
logistic_regression,F1,val,6,173,153,20,0.884393063583815,0.8455976483762515,0.8278107951519773,0.8605061660989041
logistic_regression,F1,val,7,173,142,31,0.8208092485549133,0.8077866115291251,0.7890852646484642,0.8272295828257905
logistic_regression,F1,val,8,174,145,29,0.8333333333333334,0.7616451706985069,0.7339955165904237,0.7890852646484642
logistic_regression,F1,val,9,173,133,40,0.7687861271676301,0.6934646876112379,0.643067356781548,0.7338413511456546
logistic_regression,F1,val,10,174,124,50,0.7126436781609196,0.5364666102815969,0.15984285241832538,0.6428258625992298
logistic_regression,F2,test,1,170,166,4,0.9764705882352941,0.9911384235763725,0.9739506073477954,0.9999826069709494
logistic_regression,F2,test,2,170,126,44,0.7411764705882353,0.9559591081152635,0.943014927841573,0.9730287907263497
logistic_regression,F2,test,3,170,135,35,0.7941176470588235,0.9306625831669156,0.9148411693320867,0.9429507651653024
logistic_regression,F2,test,4,170,155,15,0.9117647058823529,0.9014987782927663,0.8894364550301235,0.9147935853336857
logistic_regression,F2,test,5,171,156,15,0.9122807017543859,0.8771713261777292,0.8667352462058756,0.8893955074686932
logistic_regression,F2,test,6,170,158,12,0.9294117647058824,0.8546337801418541,0.8403682815803081,0.8662089472026843
logistic_regression,F2,test,7,170,154,16,0.9058823529411765,0.823986926366887,0.8068624528722462,0.840354668463844
logistic_regression,F2,test,8,170,163,7,0.9588235294117647,0.7871601305982093,0.7669425984957107,0.8063528233241288
logistic_regression,F2,test,9,170,155,15,0.9117647058823529,0.7386207456137511,0.7052002764695771,0.7669425984957107
logistic_regression,F2,test,10,171,165,6,0.9649122807017544,0.6165698810235007,0.3444212650166974,0.7040348717121832
logistic_regression,F2,val,1,173,161,12,0.930635838150289,0.968488365520553,0.952560886256925,0.9999998196812184
logistic_regression,F2,val,2,173,163,10,0.9421965317919075,0.9431436503122274,0.9343461616554449,0.9525314718804625
logistic_regression,F2,val,3,174,159,15,0.9137931034482759,0.9260073571458972,0.9175034856360308,0.9343461616554449
logistic_regression,F2,val,4,173,158,15,0.9132947976878613,0.9079961974672119,0.899421489291525,0.9171094892160799
logistic_regression,F2,val,5,174,155,19,0.8908045977011494,0.8908530360338792,0.881332829035593,0.8993369403264465
logistic_regression,F2,val,6,173,149,24,0.861271676300578,0.8719003991094286,0.8613200817373644,0.8812349291096839
logistic_regression,F2,val,7,173,154,19,0.8901734104046243,0.8482055740658188,0.8358032273915438,0.8613011507869427
logistic_regression,F2,val,8,174,155,19,0.8908045977011494,0.8171796905948512,0.7983027320798907,0.835724089370578
logistic_regression,F2,val,9,173,130,43,0.7514450867052023,0.7743870108246337,0.7391773835281935,0.7979931042492542
logistic_regression,F2,val,10,174,127,47,0.7298850574712644,0.6305149351096128,0.1608094614922858,0.7384493275936403
logistic_regression,F3,test,1,170,166,4,0.9764705882352941,0.9922767692488258,0.9818228893470953,0.9999853271763517
logistic_regression,F3,test,2,170,146,24,0.8588235294117647,0.9598917459587992,0.9462635095312332,0.9818200576215947
logistic_regression,F3,test,3,170,136,34,0.8,0.9349935198458021,0.9247885550604136,0.9462404897643352
logistic_regression,F3,test,4,170,148,22,0.8705882352941177,0.914894503667118,0.9034586750204835,0.9244399951093697
logistic_regression,F3,test,5,171,160,11,0.935672514619883,0.8915106717711446,0.881679246689752,0.9033780453384569
logistic_regression,F3,test,6,170,156,14,0.9176470588235294,0.8705085854710959,0.859482582977174,0.8814214797105397
logistic_regression,F3,test,7,170,156,14,0.9176470588235294,0.8464205033354881,0.8301810919594114,0.8593448159615341
logistic_regression,F3,test,8,170,153,17,0.9,0.8130488938144184,0.7931422263845835,0.8301568254311251
