model_name,feature_set,split,score_decile,rows,positives,negatives,positive_rate,mean_score,min_score,max_score
sequence_bilstm_balanced_train_weights,S1,test,1,170,167,3,0.9823529411764705,0.8814231564016903,0.8155147433280945,0.9203521609306335
sequence_bilstm_balanced_train_weights,S1,test,2,170,128,42,0.7529411764705882,0.6704052672666662,0.5648921132087708,0.8138670921325684
sequence_bilstm_balanced_train_weights,S1,test,3,170,145,25,0.8529411764705882,0.5203280045705683,0.4875893294811249,0.5641591548919678
sequence_bilstm_balanced_train_weights,S1,test,4,170,155,15,0.9117647058823529,0.45555693384479073,0.4279399812221527,0.487282931804657
sequence_bilstm_balanced_train_weights,S1,test,5,171,139,32,0.8128654970760234,0.3910643256198593,0.3503168821334839,0.4272522032260895
sequence_bilstm_balanced_train_weights,S1,test,6,170,142,28,0.8352941176470589,0.3063216074424632,0.27027490735054016,0.3494187593460083
sequence_bilstm_balanced_train_weights,S1,test,7,170,161,9,0.9470588235294117,0.24444465172641416,0.22365222871303558,0.2688118517398834
sequence_bilstm_balanced_train_weights,S1,test,8,170,160,10,0.9411764705882353,0.2047764686977162,0.18508797883987427,0.22365222871303558
sequence_bilstm_balanced_train_weights,S1,test,9,170,167,3,0.9823529411764705,0.17082137754734825,0.15502119064331055,0.18481431901454926
sequence_bilstm_balanced_train_weights,S1,test,10,171,169,2,0.9883040935672515,0.13550481474713275,0.10364421457052231,0.1542557328939438
sequence_bilstm_balanced_train_weights,S1,val,1,173,163,10,0.9421965317919075,0.6842148800116743,0.5685797929763794,0.9031394720077515
sequence_bilstm_balanced_train_weights,S1,val,2,173,168,5,0.9710982658959537,0.5281453146410815,0.4978726804256439,0.5683571100234985
sequence_bilstm_balanced_train_weights,S1,val,3,174,166,8,0.9540229885057471,0.47081230272506847,0.44450074434280396,0.4978261888027191
sequence_bilstm_balanced_train_weights,S1,val,4,173,165,8,0.953757225433526,0.4230076730940383,0.3988737165927887,0.44411611557006836
sequence_bilstm_balanced_train_weights,S1,val,5,174,153,21,0.8793103448275862,0.36210706007891685,0.32332655787467957,0.3985752761363983
sequence_bilstm_balanced_train_weights,S1,val,6,173,130,43,0.7514450867052023,0.2879544605064943,0.26126083731651306,0.32311204075813293
sequence_bilstm_balanced_train_weights,S1,val,7,173,126,47,0.7283236994219653,0.23761066983889984,0.21560518443584442,0.26126083731651306
sequence_bilstm_balanced_train_weights,S1,val,8,174,130,44,0.7471264367816092,0.19202826257752276,0.17158493399620056,0.21550768613815308
sequence_bilstm_balanced_train_weights,S1,val,9,173,142,31,0.8208092485549133,0.15421718496807738,0.14021795988082886,0.1712845116853714
sequence_bilstm_balanced_train_weights,S1,val,10,174,168,6,0.9655172413793104,0.12577100509199604,0.08741690963506699,0.14021795988082886
