model_name,feature_set,split,score_decile,rows,positives,negatives,positive_rate,mean_score,min_score,max_score
sequence_cnn_plus_F3_late_fusion_unweighted,S1+F3,test,1,170,165,5,0.9705882352941176,0.9896859957891352,0.9777465462684631,0.9984275102615356
sequence_cnn_plus_F3_late_fusion_unweighted,S1+F3,test,2,170,147,23,0.8647058823529412,0.948037756541196,0.9220545291900635,0.977323055267334
sequence_cnn_plus_F3_late_fusion_unweighted,S1+F3,test,3,170,149,21,0.8764705882352941,0.903317355408388,0.8892291188240051,0.922005832195282
sequence_cnn_plus_F3_late_fusion_unweighted,S1+F3,test,4,170,146,24,0.8588235294117647,0.8725416677839616,0.8567684888839722,0.8888794779777527
sequence_cnn_plus_F3_late_fusion_unweighted,S1+F3,test,5,171,156,15,0.9122807017543859,0.8415833830136304,0.825303852558136,0.8567095994949341
sequence_cnn_plus_F3_late_fusion_unweighted,S1+F3,test,6,170,153,17,0.9,0.8108443155008204,0.7953355312347412,0.8251369595527649
sequence_cnn_plus_F3_late_fusion_unweighted,S1+F3,test,7,170,143,27,0.8411764705882353,0.777435299578835,0.7582114338874817,0.7950411438941956
sequence_cnn_plus_F3_late_fusion_unweighted,S1+F3,test,8,170,152,18,0.8941176470588236,0.7402152934495141,0.7207520008087158,0.7579234838485718
sequence_cnn_plus_F3_late_fusion_unweighted,S1+F3,test,9,170,161,9,0.9470588235294117,0.6935900348074296,0.663468599319458,0.7202314734458923
sequence_cnn_plus_F3_late_fusion_unweighted,S1+F3,test,10,171,161,10,0.9415204678362573,0.5904685260608182,0.2881508469581604,0.663468599319458
sequence_cnn_plus_F3_late_fusion_unweighted,S1+F3,val,1,173,167,6,0.9653179190751445,0.9692608021587306,0.9342806339263916,0.9999786615371704
sequence_cnn_plus_F3_late_fusion_unweighted,S1+F3,val,2,173,170,3,0.9826589595375722,0.9174523577524748,0.9030489921569824,0.934058427810669
sequence_cnn_plus_F3_late_fusion_unweighted,S1+F3,val,3,174,165,9,0.9482758620689655,0.8901738113370435,0.8759940266609192,0.9028097987174988
sequence_cnn_plus_F3_late_fusion_unweighted,S1+F3,val,4,173,162,11,0.9364161849710982,0.8636638704751958,0.853203296661377,0.875663697719574
sequence_cnn_plus_F3_late_fusion_unweighted,S1+F3,val,5,174,150,24,0.8620689655172413,0.8419304048192913,0.8291993737220764,0.853162944316864
sequence_cnn_plus_F3_late_fusion_unweighted,S1+F3,val,6,173,161,12,0.930635838150289,0.8139413243773356,0.8008618354797363,0.8291856050491333
sequence_cnn_plus_F3_late_fusion_unweighted,S1+F3,val,7,173,146,27,0.8439306358381503,0.7855951041844539,0.7712375521659851,0.800571084022522
sequence_cnn_plus_F3_late_fusion_unweighted,S1+F3,val,8,174,126,48,0.7241379310344828,0.7502135514527902,0.7278016209602356,0.7712375521659851
sequence_cnn_plus_F3_late_fusion_unweighted,S1+F3,val,9,173,139,34,0.8034682080924855,0.7026362226188527,0.6721159815788269,0.7277440428733826
sequence_cnn_plus_F3_late_fusion_unweighted,S1+F3,val,10,174,125,49,0.7183908045977011,0.6032831437628845,0.43745267391204834,0.6709077954292297
