input_representation,feature_set,source_column,is_forbidden,max_length,channels,policy,input_branch,tabular_feature_set,tabular_preprocessor_fit_scope,family
S1_sequence_pair,S1,grna_target_sequence,False,23,11.0,"one-hot guide bases, one-hot target bases, and aligned mismatch channel",sequence,F3,train_only,
S1_sequence_pair,S1,target_sequence,False,23,11.0,"one-hot guide bases, one-hot target bases, and aligned mismatch channel",sequence,F3,train_only,
S1_sequence_pair+F3,F3,guide_length,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,sequence_summary
S1_sequence_pair+F3,F3,target_length,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,sequence_summary
S1_sequence_pair+F3,F3,length_delta,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,sequence_summary
S1_sequence_pair+F3,F3,guide_gc_fraction,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,sequence_summary
S1_sequence_pair+F3,F3,target_gc_fraction,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,sequence_summary
S1_sequence_pair+F3,F3,target_pam_gc_fraction,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,sequence_summary
S1_sequence_pair+F3,F3,target_protospacer_gc_fraction,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,sequence_summary
S1_sequence_pair+F3,F3,aligned_length,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,sequence_summary
S1_sequence_pair+F3,F3,mismatch_count,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,sequence_summary
S1_sequence_pair+F3,F3,mismatch_rate,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,sequence_summary
S1_sequence_pair+F3,F3,mismatch_pos_00,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,mismatch_position
S1_sequence_pair+F3,F3,mismatch_pos_01,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,mismatch_position
S1_sequence_pair+F3,F3,mismatch_pos_02,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,mismatch_position
S1_sequence_pair+F3,F3,mismatch_pos_03,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,mismatch_position
S1_sequence_pair+F3,F3,mismatch_pos_04,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,mismatch_position
S1_sequence_pair+F3,F3,mismatch_pos_05,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,mismatch_position
S1_sequence_pair+F3,F3,mismatch_pos_06,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,mismatch_position
S1_sequence_pair+F3,F3,mismatch_pos_07,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,mismatch_position
S1_sequence_pair+F3,F3,mismatch_pos_08,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,mismatch_position
S1_sequence_pair+F3,F3,mismatch_pos_09,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,mismatch_position
S1_sequence_pair+F3,F3,mismatch_pos_10,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,mismatch_position
S1_sequence_pair+F3,F3,mismatch_pos_11,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,mismatch_position
S1_sequence_pair+F3,F3,mismatch_pos_12,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,mismatch_position
S1_sequence_pair+F3,F3,mismatch_pos_13,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,mismatch_position
S1_sequence_pair+F3,F3,mismatch_pos_14,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,mismatch_position
S1_sequence_pair+F3,F3,mismatch_pos_15,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,mismatch_position
S1_sequence_pair+F3,F3,mismatch_pos_16,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,mismatch_position
S1_sequence_pair+F3,F3,mismatch_pos_17,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,mismatch_position
S1_sequence_pair+F3,F3,mismatch_pos_18,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,mismatch_position
S1_sequence_pair+F3,F3,mismatch_pos_19,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,mismatch_position
S1_sequence_pair+F3,F3,mismatch_pos_20,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,mismatch_position
S1_sequence_pair+F3,F3,mismatch_pos_21,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,mismatch_position
S1_sequence_pair+F3,F3,mismatch_pos_22,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,mismatch_position
S1_sequence_pair+F3,F3,energy_1,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,binding_energy
S1_sequence_pair+F3,F3,energy_2,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,binding_energy
S1_sequence_pair+F3,F3,energy_3,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,binding_energy
S1_sequence_pair+F3,F3,energy_4,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,binding_energy
S1_sequence_pair+F3,F3,energy_5,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,binding_energy
S1_sequence_pair+F3,F3,epigen_ctcf,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,experimental_epigenetic
S1_sequence_pair+F3,F3,epigen_dnase,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,experimental_epigenetic
S1_sequence_pair+F3,F3,epigen_rrbs,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,experimental_epigenetic
S1_sequence_pair+F3,F3,epigen_h3k4me3,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,experimental_epigenetic
S1_sequence_pair+F3,F3,epigen_drip,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,experimental_epigenetic
S1_sequence_pair+F3,F3,MNase,False,23,,train-only preprocessed tabular F3 late-fusion branch,tabular,F3,train_only,experimental_epigenetic
S1_sequence_pair,S1,grna_target_sequence,False,23,11.0,"one-hot guide bases, one-hot target bases, and aligned mismatch channel",sequence,F4,train_only,
S1_sequence_pair,S1,target_sequence,False,23,11.0,"one-hot guide bases, one-hot target bases, and aligned mismatch channel",sequence,F4,train_only,
S1_sequence_pair+F4,F4,guide_length,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,sequence_summary
S1_sequence_pair+F4,F4,target_length,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,sequence_summary
S1_sequence_pair+F4,F4,length_delta,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,sequence_summary
S1_sequence_pair+F4,F4,guide_gc_fraction,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,sequence_summary
S1_sequence_pair+F4,F4,target_gc_fraction,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,sequence_summary
S1_sequence_pair+F4,F4,target_pam_gc_fraction,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,sequence_summary
S1_sequence_pair+F4,F4,target_protospacer_gc_fraction,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,sequence_summary
