model_name,feature_set,split,genome,rows,positives,negatives,positive_rate,auprc,auroc,mean_score_positive,mean_score_negative,mean_score
tabular_mlp_unweighted,F1,test,hg19,1446,1431,15,0.9896265560165975,0.9861495607896358,0.28367109247612393,0.7772928653377913,0.9183549021415625,0.7787561644747598
tabular_mlp_unweighted,F1,test,hg38,176,96,80,0.5454545454545454,0.539319839403166,0.45169270833333336,0.7335531507657471,0.7707925531814472,0.7504801518637927
tabular_mlp_unweighted,F1,test,mm10,80,6,74,0.075,0.10933130742452776,0.6261261261261262,0.7821961158145158,0.6911124805199398,0.6979437531670332
tabular_mlp_unweighted,F1,val,hg19,1368,1353,15,0.9890350877192983,0.9952894593854456,0.8027593003202759,0.8072608685288543,0.5941901063707734,0.8049245663122085
tabular_mlp_unweighted,F1,val,hg38,333,155,178,0.46546546546546547,0.4968020639955926,0.541428053642624,0.6404314587008795,0.620574167322346,0.6298170506967384
tabular_mlp_unweighted,F1,val,mm10,22,1,21,0.045454545454545456,0.16666666666666666,0.7619047619047619,0.5635929792542097,0.4830908945741258,0.48675008024140226
tabular_mlp_unweighted,F1,val,rn5,11,2,9,0.18181818181818182,1.0,1.0,0.9556680578996954,0.7774750356637942,0.8098737669794128
tabular_mlp_unweighted,F2,test,hg19,1446,1431,15,0.9896265560165975,0.9862397441395185,0.2833449802003261,0.7852147777906942,0.9193369128994447,0.7866060862461792
tabular_mlp_unweighted,F2,test,hg38,176,96,80,0.5454545454545454,0.5291489159946724,0.4385416666666666,0.7625641139414107,0.8037912160693906,0.7813037058177652
tabular_mlp_unweighted,F2,test,mm10,80,6,74,0.075,0.14354166666666668,0.713963963963964,0.808392639497942,0.6770300137535846,0.6868822106844115
tabular_mlp_unweighted,F2,val,hg19,1368,1353,15,0.9890350877192983,0.99550117670015,0.8009854644000985,0.8241655815877184,0.6266305058065549,0.8219996268094162
tabular_mlp_unweighted,F2,val,hg38,333,155,178,0.46546546546546547,0.4916683240565081,0.5187749184487133,0.6656753568299417,0.6545012934005942,0.659702434035876
tabular_mlp_unweighted,F2,val,mm10,22,1,21,0.045454545454545456,0.3333333333333333,0.9047619047619048,0.6323724090080014,0.4886698212174384,0.4952017570261003
tabular_mlp_unweighted,F2,val,rn5,11,2,9,0.18181818181818182,0.75,0.8888888888888888,0.8828581669089739,0.604990253243292,0.6555116920915979
tabular_mlp_unweighted,F3,test,hg19,1446,1431,15,0.9896265560165975,0.9911223234557227,0.4917773119030981,0.8585930591786696,0.864210162333445,0.8586513278835948
tabular_mlp_unweighted,F3,test,hg38,176,96,80,0.5454545454545454,0.5414666635511505,0.45169270833333336,0.7008530933306362,0.743883408424052,0.7204123274640071
tabular_mlp_unweighted,F3,test,mm10,80,6,74,0.075,0.31341742548639095,0.7432432432432432,0.7596639939681552,0.5424925794441566,0.5587804355334565
tabular_mlp_unweighted,F3,val,hg19,1368,1353,15,0.9890350877192983,0.9961397042997697,0.7909830007390983,0.8783077361811268,0.6524625896632703,0.8758313639605362
tabular_mlp_unweighted,F3,val,hg38,333,155,178,0.46546546546546547,0.4806320288185551,0.5261326567596956,0.5903615274106097,0.5699491009071336,0.5794503805108537
tabular_mlp_unweighted,F3,val,mm10,22,1,21,0.045454545454545456,0.25,0.8571428571428571,0.4656436154642258,0.35016497685099646,0.3554140058788706
tabular_mlp_unweighted,F3,val,rn5,11,2,9,0.18181818181818182,0.6666666666666666,0.7777777777777778,0.6057884875987869,0.3151847136586712,0.3680217634659649
tabular_mlp_unweighted,F4,test,hg19,1446,1431,15,0.9896265560165975,0.9833642681914796,0.23680409969718144,0.8438759038145621,0.966927740366692,0.8451523751480905
tabular_mlp_unweighted,F4,test,hg38,176,96,80,0.5454545454545454,0.572183221634618,0.509375,0.7354993195762186,0.7477197278919794,0.7410540506288371
tabular_mlp_unweighted,F4,test,mm10,80,6,74,0.075,0.10113414541443817,0.6058558558558558,0.7155503752348323,0.6116772075872347,0.6194676951608044
tabular_mlp_unweighted,F4,val,hg19,1368,1353,15,0.9890350877192983,0.9922766140705044,0.6514412416851441,0.8566300584493861,0.7185101837348878,0.8551155861389201
tabular_mlp_unweighted,F4,val,hg38,333,155,178,0.46546546546546547,0.5432938001309813,0.575643349039507,0.6589217041818989,0.6056406941157731,0.6304411642666725
tabular_mlp_unweighted,F4,val,mm10,22,1,21,0.045454545454545456,0.2,0.8095238095238095,0.6679719421107806,0.5143062686330001,0.5212910719728993
tabular_mlp_unweighted,F4,val,rn5,11,2,9,0.18181818181818182,0.75,0.8888888888888888,0.6177185620382128,0.41104622377709393,0.44862301255184284
