model_name,feature_set,split,score_decile,rows,positives,negatives,positive_rate,mean_score,min_score,max_score
xgboost_balanced_train_weights,F1,test,1,170,163,7,0.9588235294117647,0.7842920398010927,0.6824061274528503,0.8029506802558899
xgboost_balanced_train_weights,F1,test,2,170,92,78,0.5411764705882353,0.6120450773659875,0.5556939244270325,0.6824061274528503
xgboost_balanced_train_weights,F1,test,3,170,139,31,0.8176470588235294,0.487160224423689,0.4217355251312256,0.5556939244270325
xgboost_balanced_train_weights,F1,test,4,170,157,13,0.9235294117647059,0.3819953573100707,0.36928147077560425,0.4217355251312256
xgboost_balanced_train_weights,F1,test,5,171,166,5,0.9707602339181286,0.35418091322246353,0.34751659631729126,0.36928147077560425
xgboost_balanced_train_weights,F1,test,6,170,158,12,0.9294117647058824,0.3422887462026933,0.3304157257080078,0.34751659631729126
xgboost_balanced_train_weights,F1,test,7,170,168,2,0.9882352941176471,0.31754731833934785,0.30459585785865784,0.3304157257080078
xgboost_balanced_train_weights,F1,test,8,170,156,14,0.9176470588235294,0.2968982366954579,0.2949163317680359,0.30459585785865784
xgboost_balanced_train_weights,F1,test,9,170,167,3,0.9823529411764705,0.29420679194085736,0.2927232086658478,0.2949163317680359
xgboost_balanced_train_weights,F1,test,10,171,167,4,0.9766081871345029,0.28496846382380925,0.26785826683044434,0.2927232086658478
xgboost_balanced_train_weights,F1,val,1,173,158,15,0.9132947976878613,0.6718171107975733,0.5974158048629761,0.8029506802558899
xgboost_balanced_train_weights,F1,val,2,173,169,4,0.976878612716763,0.572630507408539,0.5556939244270325,0.5974158048629761
xgboost_balanced_train_weights,F1,val,3,174,171,3,0.9827586206896551,0.5327905022549904,0.522438108921051,0.5556939244270325
xgboost_balanced_train_weights,F1,val,4,173,162,11,0.9364161849710982,0.48838696538368404,0.4217355251312256,0.522438108921051
xgboost_balanced_train_weights,F1,val,5,174,171,3,0.9827586206896551,0.3816123654445012,0.3624294400215149,0.420371413230896
xgboost_balanced_train_weights,F1,val,6,173,172,1,0.9942196531791907,0.35274427078362836,0.34751659631729126,0.3624294400215149
xgboost_balanced_train_weights,F1,val,7,173,161,12,0.930635838150289,0.33859070153594706,0.3304157257080078,0.34751659631729126
xgboost_balanced_train_weights,F1,val,8,174,114,60,0.6551724137931034,0.3083406289418538,0.2949163317680359,0.3304157257080078
xgboost_balanced_train_weights,F1,val,9,173,135,38,0.7803468208092486,0.2919582957132703,0.2853570580482483,0.2949163317680359
xgboost_balanced_train_weights,F1,val,10,174,98,76,0.5632183908045977,0.27993893777501994,0.26785826683044434,0.2853570580482483
xgboost_balanced_train_weights,F2,test,1,170,165,5,0.9705882352941176,0.6205697262988371,0.5506023168563843,0.6301249265670776
xgboost_balanced_train_weights,F2,test,2,170,110,60,0.6470588235294118,0.510265750394148,0.499922513961792,0.5432730913162231
xgboost_balanced_train_weights,F2,test,3,170,164,6,0.9647058823529412,0.4832720235866659,0.4816492199897766,0.499922513961792
xgboost_balanced_train_weights,F2,test,4,170,152,18,0.8941176470588236,0.4771738643155378,0.4640823006629944,0.4816492199897766
xgboost_balanced_train_weights,F2,test,5,171,133,38,0.7777777777777778,0.44524904057296394,0.4384949207305908,0.4640823006629944
xgboost_balanced_train_weights,F2,test,6,170,166,4,0.9764705882352941,0.4384949207305908,0.4384949207305908,0.4384949207305908
xgboost_balanced_train_weights,F2,test,7,170,153,17,0.9,0.42231093417195714,0.42140623927116394,0.4384949207305908
xgboost_balanced_train_weights,F2,test,8,170,164,6,0.9647058823529412,0.41877336256644304,0.4153577387332916,0.42140623927116394
xgboost_balanced_train_weights,F2,test,9,170,155,15,0.9117647058823529,0.4153577387332916,0.4153577387332916,0.4153577387332916
xgboost_balanced_train_weights,F2,test,10,171,171,0,1.0,0.4153577387332916,0.4153577387332916,0.4153577387332916
xgboost_balanced_train_weights,F2,val,1,173,171,2,0.9884393063583815,0.5387700296550817,0.506655752658844,0.6301249265670776
xgboost_balanced_train_weights,F2,val,2,173,168,5,0.9710982658959537,0.49780583708961573,0.4816492199897766,0.506655752658844
xgboost_balanced_train_weights,F2,val,3,174,174,0,1.0,0.4816492199897766,0.4816492199897766,0.4816492199897766
xgboost_balanced_train_weights,F2,val,4,173,150,23,0.8670520231213873,0.46482276330793526,0.44597604870796204,0.4816492199897766
xgboost_balanced_train_weights,F2,val,5,174,164,10,0.9425287356321839,0.44597604870796204,0.44597604870796204,0.44597604870796204
xgboost_balanced_train_weights,F2,val,6,173,162,11,0.9364161849710982,0.4439631245728862,0.43940556049346924,0.44597604870796204
xgboost_balanced_train_weights,F2,val,7,173,145,28,0.838150289017341,0.4384949207305908,0.4384949207305908,0.4384949207305908
xgboost_balanced_train_weights,F2,val,8,174,174,0,1.0,0.42140623927116394,0.42140623927116394,0.42140623927116394
xgboost_balanced_train_weights,F2,val,9,173,116,57,0.6705202312138728,0.41581225033440344,0.4153577387332916,0.42140623927116394
xgboost_balanced_train_weights,F2,val,10,174,87,87,0.5,0.4153577387332916,0.4153577387332916,0.4153577387332916
xgboost_balanced_train_weights,F3,test,1,170,170,0,1.0,0.9849341381998623,0.9489537477493286,0.9973146319389343
xgboost_balanced_train_weights,F3,test,2,170,165,5,0.9705882352941176,0.9095205587499282,0.894085705280304,0.9486101865768433
xgboost_balanced_train_weights,F3,test,3,170,169,1,0.9941176470588236,0.878045599600848,0.8656991124153137,0.8940504193305969
xgboost_balanced_train_weights,F3,test,4,170,170,0,1.0,0.8374032083679648,0.7792084813117981,0.8656991124153137
xgboost_balanced_train_weights,F3,test,5,171,171,0,1.0,0.7443180390965869,0.7159764170646667,0.7781585454940796
xgboost_balanced_train_weights,F3,test,6,170,166,4,0.9764705882352941,0.6883708087836995,0.6470375061035156,0.7159764170646667
xgboost_balanced_train_weights,F3,test,7,170,168,2,0.9882352941176471,0.570743806923137,0.43351584672927856,0.6469018459320068
xgboost_balanced_train_weights,F3,test,8,170,162,8,0.9529411764705882,0.3971058319596683,0.3662889003753662,0.4331251382827759
xgboost_balanced_train_weights,F3,test,9,170,109,61,0.6411764705882353,0.2852994325406411,0.20683811604976654,0.365640252828598
xgboost_balanced_train_weights,F3,test,10,171,83,88,0.4853801169590643,0.1449603737925577,0.05342571437358856,0.2058122605085373
xgboost_balanced_train_weights,F3,val,1,173,173,0,1.0,0.9368137276241545,0.9084314703941345,0.9973146319389343
xgboost_balanced_train_weights,F3,val,2,173,173,0,1.0,0.89755253674667,0.8879782557487488,0.9082615971565247
xgboost_balanced_train_weights,F3,val,3,174,174,0,1.0,0.8754995982537325,0.8658852577209473,0.8878883719444275
xgboost_balanced_train_weights,F3,val,4,173,170,3,0.9826589595375722,0.8494503312028212,0.8124273419380188,0.8657150268554688
xgboost_balanced_train_weights,F3,val,5,174,173,1,0.9942528735632183,0.7459294319837942,0.7003977298736572,0.8109304904937744
xgboost_balanced_train_weights,F3,val,6,173,172,1,0.9942196531791907,0.673166138243813,0.6338118314743042,0.6999105215072632
xgboost_balanced_train_weights,F3,val,7,173,166,7,0.9595375722543352,0.5462414575794529,0.4329700767993927,0.6333807706832886
xgboost_balanced_train_weights,F3,val,8,174,150,24,0.8620689655172413,0.33607067099247856,0.16494868695735931,0.4321787357330322
xgboost_balanced_train_weights,F3,val,9,173,84,89,0.48554913294797686,0.08708889760895272,0.06679948419332504,0.16377238929271698
xgboost_balanced_train_weights,F3,val,10,174,76,98,0.4367816091954023,0.06363594851017683,0.052224189043045044,0.06679948419332504
xgboost_balanced_train_weights,F4,test,1,170,169,1,0.9941176470588236,0.9798864883535049,0.9453005790710449,0.9934003353118896
xgboost_balanced_train_weights,F4,test,2,170,167,3,0.9823529411764705,0.8996138046769535,0.8576172590255737,0.9448978900909424
xgboost_balanced_train_weights,F4,test,3,170,167,3,0.9823529411764705,0.8300594410475562,0.8072859048843384,0.8573967814445496
xgboost_balanced_train_weights,F4,test,4,170,170,0,1.0,0.7871701882166021,0.7629878520965576,0.8071067333221436
xgboost_balanced_train_weights,F4,test,5,171,169,2,0.9883040935672515,0.7315027957771256,0.6833577156066895,0.7629878520965576
xgboost_balanced_train_weights,F4,test,6,170,167,3,0.9823529411764705,0.6469388726879569,0.6064984798431396,0.6815949082374573
xgboost_balanced_train_weights,F4,test,7,170,168,2,0.9882352941176471,0.559311196383308,0.5032948851585388,0.6064984798431396
xgboost_balanced_train_weights,F4,test,8,170,163,7,0.9588235294117647,0.4301937536281698,0.3612124025821686,0.5009964108467102
xgboost_balanced_train_weights,F4,test,9,170,122,48,0.7176470588235294,0.26000432266908535,0.17980113625526428,0.3612124025821686
xgboost_balanced_train_weights,F4,test,10,171,71,100,0.4152046783625731,0.1328260158978359,0.060614120215177536,0.17908033728599548
xgboost_balanced_train_weights,F4,val,1,173,173,0,1.0,0.9273408737485809,0.8936198353767395,0.9943780303001404
xgboost_balanced_train_weights,F4,val,2,173,173,0,1.0,0.8617004552328518,0.8316799998283386,0.8932474851608276
xgboost_balanced_train_weights,F4,val,3,174,174,0,1.0,0.8128353723849373,0.7949427366256714,0.8316147923469543
xgboost_balanced_train_weights,F4,val,4,173,172,1,0.9942196531791907,0.7783249923259536,0.7591022253036499,0.7949194312095642
xgboost_balanced_train_weights,F4,val,5,174,169,5,0.9712643678160919,0.7192977166723931,0.6601652503013611,0.7588285803794861
xgboost_balanced_train_weights,F4,val,6,173,171,2,0.9884393063583815,0.6100845974304773,0.5671926736831665,0.6600227355957031
xgboost_balanced_train_weights,F4,val,7,173,168,5,0.9710982658959537,0.5258018152217645,0.47096720337867737,0.5668805241584778
xgboost_balanced_train_weights,F4,val,8,174,156,18,0.896551724137931,0.3481128113023166,0.18790774047374725,0.470894455909729
xgboost_balanced_train_weights,F4,val,9,173,77,96,0.44508670520231214,0.10809498280286789,0.08119155466556549,0.18788844347000122
xgboost_balanced_train_weights,F4,val,10,174,78,96,0.4482758620689655,0.07211601130407432,0.05373045802116394,0.08097351342439651
