feature_set,feature,family,is_forbidden
F1,guide_length,sequence_summary,False
F1,target_length,sequence_summary,False
F1,length_delta,sequence_summary,False
F1,guide_gc_fraction,sequence_summary,False
F1,target_gc_fraction,sequence_summary,False
F1,target_pam_gc_fraction,sequence_summary,False
F1,target_protospacer_gc_fraction,sequence_summary,False
F1,aligned_length,sequence_summary,False
F1,mismatch_count,sequence_summary,False
F1,mismatch_rate,sequence_summary,False
F1,mismatch_pos_00,mismatch_position,False
F1,mismatch_pos_01,mismatch_position,False
F1,mismatch_pos_02,mismatch_position,False
F1,mismatch_pos_03,mismatch_position,False
F1,mismatch_pos_04,mismatch_position,False
F1,mismatch_pos_05,mismatch_position,False
F1,mismatch_pos_06,mismatch_position,False
F1,mismatch_pos_07,mismatch_position,False
F1,mismatch_pos_08,mismatch_position,False
F1,mismatch_pos_09,mismatch_position,False
F1,mismatch_pos_10,mismatch_position,False
F1,mismatch_pos_11,mismatch_position,False
F1,mismatch_pos_12,mismatch_position,False
F1,mismatch_pos_13,mismatch_position,False
F1,mismatch_pos_14,mismatch_position,False
F1,mismatch_pos_15,mismatch_position,False
F1,mismatch_pos_16,mismatch_position,False
F1,mismatch_pos_17,mismatch_position,False
F1,mismatch_pos_18,mismatch_position,False
F1,mismatch_pos_19,mismatch_position,False
F1,mismatch_pos_20,mismatch_position,False
F1,mismatch_pos_21,mismatch_position,False
F1,mismatch_pos_22,mismatch_position,False
F2,guide_length,sequence_summary,False
F2,target_length,sequence_summary,False
F2,length_delta,sequence_summary,False
F2,guide_gc_fraction,sequence_summary,False
F2,target_gc_fraction,sequence_summary,False
F2,target_pam_gc_fraction,sequence_summary,False
F2,target_protospacer_gc_fraction,sequence_summary,False
F2,aligned_length,sequence_summary,False
F2,mismatch_count,sequence_summary,False
F2,mismatch_rate,sequence_summary,False
F2,mismatch_pos_00,mismatch_position,False
F2,mismatch_pos_01,mismatch_position,False
F2,mismatch_pos_02,mismatch_position,False
F2,mismatch_pos_03,mismatch_position,False
F2,mismatch_pos_04,mismatch_position,False
F2,mismatch_pos_05,mismatch_position,False
