model_name,graph_schema,feature_set,split,score_decile,rows,positive_rate,mean_score
gcn_graph_b,graph_b_guide_similarity_control,S1_pair+F1,test,1,170,1.0,0.870284555238836
gcn_graph_b,graph_b_guide_similarity_control,S1_pair+F1,test,2,170,1.0,0.7692075631197761
gcn_graph_b,graph_b_guide_similarity_control,S1_pair+F1,test,3,170,1.0,0.7041735862984376
gcn_graph_b,graph_b_guide_similarity_control,S1_pair+F1,test,4,170,0.9588235294117647,0.5632627297850216
gcn_graph_b,graph_b_guide_similarity_control,S1_pair+F1,test,5,171,1.0,0.5098535301741104
gcn_graph_b,graph_b_guide_similarity_control,S1_pair+F1,test,6,170,0.6882352941176471,0.4154773193247178
gcn_graph_b,graph_b_guide_similarity_control,S1_pair+F1,test,7,170,0.8117647058823529,0.30163964953492667
gcn_graph_b,graph_b_guide_similarity_control,S1_pair+F1,test,8,170,0.888235294117647,0.1800058537546326
gcn_graph_b,graph_b_guide_similarity_control,S1_pair+F1,test,9,170,0.9529411764705882,0.15831701501327403
gcn_graph_b,graph_b_guide_similarity_control,S1_pair+F1,test,10,171,0.7076023391812866,0.13236574789411143
gcn_graph_b,graph_b_guide_similarity_control,S1_pair+F1,val,1,173,0.9884393063583815,0.8439267704941634
gcn_graph_b,graph_b_guide_similarity_control,S1_pair+F1,val,2,173,0.953757225433526,0.7439569069470974
gcn_graph_b,graph_b_guide_similarity_control,S1_pair+F1,val,3,174,0.7183908045977011,0.4952796745574337
gcn_graph_b,graph_b_guide_similarity_control,S1_pair+F1,val,4,173,0.8901734104046243,0.438636779957424
gcn_graph_b,graph_b_guide_similarity_control,S1_pair+F1,val,5,174,0.867816091954023,0.3737712262690752
gcn_graph_b,graph_b_guide_similarity_control,S1_pair+F1,val,6,173,0.6589595375722543,0.33245864114320345
gcn_graph_b,graph_b_guide_similarity_control,S1_pair+F1,val,7,173,0.838150289017341,0.2722129302390049
gcn_graph_b,graph_b_guide_similarity_control,S1_pair+F1,val,8,174,1.0,0.17028351975926037
gcn_graph_b,graph_b_guide_similarity_control,S1_pair+F1,val,9,173,0.9826589595375722,0.15309596526829494
gcn_graph_b,graph_b_guide_similarity_control,S1_pair+F1,val,10,174,0.8160919540229885,0.1328481907217667
