model_name,graph_schema,feature_set,split,score_decile,rows,positive_rate,mean_score
gcn_graph_c,graph_c_context_observation,CandidatePair+TargetObservationContext,test,1,170,0.9764705882352941,0.9991715094622444
gcn_graph_c,graph_c_context_observation,CandidatePair+TargetObservationContext,test,2,170,0.9647058823529412,0.9229748263078578
gcn_graph_c,graph_c_context_observation,CandidatePair+TargetObservationContext,test,3,170,0.9823529411764705,0.7696587033131543
gcn_graph_c,graph_c_context_observation,CandidatePair+TargetObservationContext,test,4,170,0.9764705882352941,0.6838124769575455
gcn_graph_c,graph_c_context_observation,CandidatePair+TargetObservationContext,test,5,171,0.9590643274853801,0.6033343386928938
gcn_graph_c,graph_c_context_observation,CandidatePair+TargetObservationContext,test,6,170,0.9,0.5212054950349471
gcn_graph_c,graph_c_context_observation,CandidatePair+TargetObservationContext,test,7,170,0.8647058823529412,0.42819517412606406
gcn_graph_c,graph_c_context_observation,CandidatePair+TargetObservationContext,test,8,170,0.8352941176470589,0.3320189262137693
gcn_graph_c,graph_c_context_observation,CandidatePair+TargetObservationContext,test,9,170,0.8705882352941177,0.2657574910451384
gcn_graph_c,graph_c_context_observation,CandidatePair+TargetObservationContext,test,10,171,0.6783625730994152,0.12738117706357388
gcn_graph_c,graph_c_context_observation,CandidatePair+TargetObservationContext,val,1,173,1.0,0.950556156263186
gcn_graph_c,graph_c_context_observation,CandidatePair+TargetObservationContext,val,2,173,1.0,0.792065606296407
gcn_graph_c,graph_c_context_observation,CandidatePair+TargetObservationContext,val,3,174,0.9827586206896551,0.7117031141259205
gcn_graph_c,graph_c_context_observation,CandidatePair+TargetObservationContext,val,4,173,0.9884393063583815,0.6468343052560883
gcn_graph_c,graph_c_context_observation,CandidatePair+TargetObservationContext,val,5,174,0.9770114942528736,0.5885646583020002
gcn_graph_c,graph_c_context_observation,CandidatePair+TargetObservationContext,val,6,173,0.9653179190751445,0.5236019009799626
gcn_graph_c,graph_c_context_observation,CandidatePair+TargetObservationContext,val,7,173,0.9595375722543352,0.4478743140063534
gcn_graph_c,graph_c_context_observation,CandidatePair+TargetObservationContext,val,8,174,0.7931034482758621,0.33934411988861257
gcn_graph_c,graph_c_context_observation,CandidatePair+TargetObservationContext,val,9,173,0.5202312138728323,0.20014757150514967
gcn_graph_c,graph_c_context_observation,CandidatePair+TargetObservationContext,val,10,174,0.5287356321839081,0.10467706769490721
