model_name,graph_schema,feature_set,split,genome,rows,positive_rate,auprc,auroc
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,test,hg19,1446,0.9896265560165975,0.9888151074155135,0.418122525040764
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,test,hg38,176,0.5454545454545454,0.5950425670449152,0.5695312499999999
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,test,mm10,80,0.075,0.2483922558922559,0.5518018018018018
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,val,hg19,1368,0.9890350877192983,0.9819449169127281,0.4006405518600641
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,val,hg38,333,0.46546546546546547,0.44629529509734234,0.49550561797752807
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,val,mm10,22,0.045454545454545456,0.07142857142857142,0.38095238095238093
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,val,rn5,11,0.18181818181818182,0.325,0.6666666666666667
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F1_mismatch,test,hg19,1446,0.9896265560165975,0.994463437455144,0.6030281854181225
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F1_mismatch,test,hg38,176,0.5454545454545454,0.5895291459847574,0.5510416666666667
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F1_mismatch,test,mm10,80,0.075,0.16070924546156742,0.5495495495495495
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F1_mismatch,val,hg19,1368,0.9890350877192983,0.9901495280600261,0.4669130327666913
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F1_mismatch,val,hg38,333,0.46546546546546547,0.47402824910378183,0.5123595505617978
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F1_mismatch,val,mm10,22,0.045454545454545456,0.06666666666666667,0.33333333333333337
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F1_mismatch,val,rn5,11,0.18181818181818182,0.45,0.7777777777777779
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F2_energy,test,hg19,1446,0.9896265560165975,0.9979708280303181,0.8408572094106685
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F2_energy,test,hg38,176,0.5454545454545454,0.6397127276921319,0.5593750000000001
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F2_energy,test,mm10,80,0.075,0.2642580719368938,0.6373873873873874
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F2_energy,val,hg19,1368,0.9890350877192983,0.9895667378939623,0.6267553584626756
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F2_energy,val,hg38,333,0.46546546546546547,0.5002564200374079,0.49362087712939473
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F2_energy,val,mm10,22,0.045454545454545456,0.2,0.8095238095238095
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F2_energy,val,rn5,11,0.18181818181818182,0.5833333333333333,0.8888888888888888
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,test,hg19,1446,0.9896265560165975,0.9923708291513931,0.5880270207314232
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,test,hg38,176,0.5454545454545454,0.6342141151391544,0.5540364583333334
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,test,mm10,80,0.075,0.2605209605209605,0.6283783783783784
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,val,hg19,1368,0.9890350877192983,0.9888355237917479,0.5561961074156196
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,val,hg38,333,0.46546546546546547,0.49232237725210815,0.48912649510692274
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,val,mm10,22,0.045454545454545456,0.0625,0.2857142857142857
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,val,rn5,11,0.18181818181818182,0.5,0.8333333333333334
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,test,hg19,1446,0.9896265560165975,0.9924621042339931,0.5524574889354763
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,test,hg38,176,0.5454545454545454,0.5522734199684016,0.5073567708333334
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,test,mm10,80,0.075,0.17997358455444953,0.6238738738738738
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,val,hg19,1368,0.9890350877192983,0.9964528019681241,0.7867208672086721
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,val,hg38,333,0.46546546546546547,0.47647366906528543,0.49077564334903945
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,val,mm10,22,0.045454545454545456,0.05263157894736842,0.1428571428571429
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,val,rn5,11,0.18181818181818182,0.325,0.6666666666666667
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,test,hg19,1446,0.9896265560165975,0.9873678507400155,0.41136734218495224
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,test,hg38,176,0.5454545454545454,0.5590838513712191,0.5126953125
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,test,mm10,80,0.075,0.07154025503779199,0.4279279279279279
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,val,hg19,1368,0.9890350877192983,0.9913231399590363,0.5594481399359449
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,val,hg38,333,0.46546546546546547,0.5021512241813952,0.5192461036607465
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,val,mm10,22,0.045454545454545456,0.1111111111111111,0.6190476190476191
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,val,rn5,11,0.18181818181818182,0.1625,0.16666666666666669
