model_name,graph_schema,feature_set,split,score_decile,rows,positive_rate,mean_score
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,test,1,170,1.0,0.9843886561253492
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,test,2,170,0.9588235294117647,0.8034946936018327
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,test,3,170,0.9941176470588236,0.6462210900643293
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,test,4,170,0.9941176470588236,0.49545057608800774
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,test,5,171,0.8888888888888888,0.3214153047890691
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,test,6,170,0.8588235294117647,0.2998716626097174
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,test,7,170,0.7470588235294118,0.26656832537230324
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,test,8,170,0.8764705882352941,0.19835369972621694
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,test,9,170,0.9882352941176471,0.1818573591463706
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,test,10,171,0.7017543859649122,0.14065453220616309
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,val,1,173,0.9653179190751445,0.8345944654045766
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,val,2,173,0.976878612716763,0.6024273940593521
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,val,3,174,0.5804597701149425,0.5037887747260346
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,val,4,173,0.7225433526011561,0.4119772197883253
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,val,5,174,0.9080459770114943,0.34830721767469386
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,val,6,173,0.8728323699421965,0.3296502392760591
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,val,7,173,0.8901734104046243,0.30439987640849425
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,val,8,174,0.9885057471264368,0.18381098229652162
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,val,9,173,0.9942196531791907,0.16820978050287058
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,val,10,174,0.8160919540229885,0.1486255368967166
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F1_mismatch,test,1,170,1.0,0.9717331458540523
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F1_mismatch,test,2,170,1.0,0.915732908599517
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F1_mismatch,test,3,170,1.0,0.8405979636837454
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F1_mismatch,test,4,170,0.9705882352941176,0.8052720827214858
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F1_mismatch,test,5,171,0.9883040935672515,0.7634556893019648
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F1_mismatch,test,6,170,0.8470588235294118,0.6005131356856402
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F1_mismatch,test,7,170,0.6058823529411764,0.4800716408911873
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F1_mismatch,test,8,170,0.8411764705882353,0.23263446066309423
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F1_mismatch,test,9,170,0.9647058823529412,0.1753411492004114
