run_id,predeclared_run_id,architecture,grna_target_id,rows,positives,positive_rate,mean_score,min_score,max_score
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,1018,4,4,1.0,0.916041374206543,0.8832233548164368,0.956138014793396
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,1026,2,2,1.0,0.8225813806056976,0.730079174041748,0.9150835871696472
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,1028,15,1,0.06666666666666667,0.07838407605886459,0.06666618585586548,0.09058718383312225
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,1044,13,1,0.07692307692307693,0.1322785157423753,0.09300202131271362,0.17180155217647552
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,10597,2,2,1.0,0.1834128201007843,0.08436256647109985,0.28246307373046875
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,10599,33,33,1.0,0.48662037018573645,0.26982414722442627,0.7014318704605103
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,1060,15,2,0.13333333333333333,0.18685567031304043,0.09731806814670563,0.26467835903167725
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,1088,13,1,0.07692307692307693,0.5661259774978344,0.39077332615852356,0.8263577818870544
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,10957,4,4,1.0,0.3512083515524864,0.2219673991203308,0.5657904744148254
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,10990,20,20,1.0,0.15701787285506724,0.08628818392753601,0.50928795337677
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,11012,8,8,1.0,0.37077121064066887,0.15325267612934113,0.7876407504081726
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,11173,145,145,1.0,0.9735053559829449,0.7630802392959595,0.9936453104019165
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,1120,15,1,0.06666666666666667,0.20879900058110554,0.16591018438339233,0.29112228751182556
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,11299,11,11,1.0,0.21805227480151437,0.11833786964416504,0.5720331072807312
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,11487,13,13,1.0,0.9852136786167438,0.9713430404663086,0.9942264556884766
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,11506,13,5,0.38461538461538464,0.9486748530314519,0.5941922664642334,0.9898396730422974
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,1408,9,0,0.0,0.07079857091108958,0.0541912242770195,0.08375626802444458
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,1505,48,48,1.0,0.12781435111537576,0.07821150869131088,0.5712783336639404
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,228,12,5,0.4166666666666667,0.2850430483619372,0.16494548320770264,0.7106027007102966
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,278,14,14,1.0,0.5360881515911647,0.4142155051231384,0.9419917464256287
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,3265,35,35,1.0,0.9684773411069597,0.9288003444671631,0.993403971195221
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,3300,120,120,1.0,0.9242648492256801,0.6983539462089539,0.9923143982887268
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,3420,320,320,1.0,0.09694405214395374,0.06981591880321503,0.5618123412132263
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,635,3,3,1.0,0.3577280988295873,0.22277531027793884,0.6066665053367615
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,7696,126,126,1.0,0.7227360438259821,0.3520987033843994,0.937419056892395
