analysis_model_id,analysis_predeclared_run_id,source_label,split,rows,positives,negatives,positive_rate,auprc,auroc,threshold,threshold_available,f1,macro_f1,mcc,specificity,sensitivity,tn,fp,fn,tp
graph_a_gcn_s6_weighted_bce,S7C_REF_GRAPH_A_GCN,Sprint 6 Graph A GCN weighted-BCE reference,val,1734,1511,223,0.8713956170703575,0.9481822241144718,0.7289058117897748,0.1560085266828537,True,0.9387628225054399,0.5769511323682578,0.3198119092423385,0.1210762331838565,0.99933818663137,27,196,1,1510
graph_a_gcn_s6_weighted_bce,S7C_REF_GRAPH_A_GCN,Sprint 6 Graph A GCN weighted-BCE reference,test,1702,1533,169,0.900705052878966,0.9769354874465136,0.81997244062576,0.1560085266828537,True,0.960377358490566,0.698938679245283,0.48371907791309793,0.28994082840236685,0.9960861056751468,49,120,6,1527
graph_a_gatv2_s7,S7C_REF_GRAPH_A_GATV2,Sprint 7 Graph A GATv2 reference,val,1734,1511,223,0.8713956170703575,0.9843234080330381,0.9222354452994928,0.1421584635972976,True,0.9392302498311952,0.7917495122673763,0.590185077705226,0.7309417040358744,0.9205823957643945,163,60,120,1391
graph_a_gatv2_s7,S7C_REF_GRAPH_A_GATV2,Sprint 7 Graph A GATv2 reference,test,1702,1533,169,0.900705052878966,0.9654486492958971,0.8182818235505274,0.1421584635972976,True,0.9472020233955106,0.6271279826521121,0.29136710825831735,0.21893491124260356,0.9771689497716894,37,132,35,1498
graph_c_gcn_s5b,S7C_REF_GRAPH_C_GCN,Sprint 5B Graph C GCN S5F2 reference,val,1734,1511,223,0.8713956170703575,0.9804761806288674,0.8868714627856111,0.0290937535464763,True,0.932716049382716,0.48828784925276153,0.13998042449033782,0.02242152466367713,1.0,5,218,0,1511
graph_c_gcn_s5b,S7C_REF_GRAPH_C_GCN,Sprint 5B Graph C GCN S5F2 reference,test,1702,1533,169,0.900705052878966,0.9724807715237014,0.8362185759446032,0.0290937535464763,True,0.9518782986650108,0.5524418815729426,0.2742871878127822,0.08284023668639054,1.0,14,155,0,1533
graph_b_gcn_s7b,S7C_REF_GRAPH_B_GCN,Sprint 7B Graph B GCN S5F2 reference,val,1734,1511,223,0.8713956170703575,0.9540888391080637,0.7593106456983615,0.157787799835205,True,0.938179558869214,0.5694913858603098,0.30698545665982296,0.11210762331838565,0.99933818663137,25,198,1,1510
graph_b_gcn_s7b,S7C_REF_GRAPH_B_GCN,Sprint 7B Graph B GCN S5F2 reference,test,1702,1533,169,0.900705052878966,0.9735834701856653,0.8007773750661,0.157787799835205,True,0.9579145728643216,0.6744118318867063,0.437157117503352,0.25443786982248523,0.994781474233529,43,126,8,1525
graph_b_gatv2_s7b,S7C_REF_GRAPH_B_GATV2,Sprint 7B Graph B GATv2 S5F2 reference,val,1734,1511,223,0.8713956170703575,0.9477460609464844,0.7125237050864661,0.0592177137732505,True,0.9361171704580866,0.5723056894761476,0.2702806922425754,0.1210762331838565,0.9940436796823295,27,196,9,1502
graph_b_gatv2_s7b,S7C_REF_GRAPH_B_GATV2,Sprint 7B Graph B GATv2 S5F2 reference,test,1702,1533,169,0.900705052878966,0.9791391952322246,0.8323973181718176,0.0592177137732505,True,0.9518184644078334,0.5614707295301199,0.27296951146680304,0.09467455621301775,0.9986953685583823,16,153,2,1531
graph_c_gatv2_s7b,S7C_GRAPH_C_GATV2,Sprint 7B Graph C GATv2 S5F2 result,val,1734,1511,223,0.8713956170703575,0.9811354218534392,0.9041142236454343,0.093161791563034,True,0.9359145527369827,0.7645674458600167,0.5304382479577762,0.6278026905829597,0.927862342819325,140,83,109,1402
graph_c_gatv2_s7b,S7C_GRAPH_C_GATV2,Sprint 7B Graph C GATv2 S5F2 result,test,1702,1533,169,0.900705052878966,0.9690784629692157,0.8497049139831014,0.093161791563034,True,0.9626582278481013,0.7395258352355261,0.5317742313743393,0.3727810650887574,0.9921722113502935,63,106,12,1521
