grna_target_id,rows,negatives,baseline_tn,candidate_tn,recovered_fp_to_tn,lost_tn_to_fp,new_fn,mean_score_delta
1028,15,14,0,14,14,0,1,-0.058278123537699386
1120,15,14,1,14,13,0,1,-0.010588296254475908
1060,15,13,0,13,13,0,2,-0.3163493777314822
1044,13,12,1,12,11,0,1,-0.02438308972005659
1408,9,9,8,9,1,0,0,0.007206464703712189
9251,176,80,0,1,1,0,0,-0.0599546950225803
228,12,7,0,0,0,0,0,-0.36363708476225537
278,14,0,0,0,0,0,0,0.11723633110523225
635,3,0,0,0,0,0,0,0.049440741539001465
804,4,0,0,0,0,0,0,0.0016847401857376376
1018,4,0,0,0,0,0,0,-0.012927383184432956
1026,2,0,0,0,0,0,0,-0.011053502559661865
1088,13,12,4,0,0,4,0,0.2951570776506112
1505,48,0,0,0,0,0,0,0.2736949691704164
3265,35,0,0,0,0,0,0,0.14860205905778068
3300,120,0,0,0,0,0,0,0.23769838884472846
3420,320,0,0,0,0,0,0,-0.12232843181118369
7696,126,0,0,0,0,0,0,-0.2232489799932828
8319,101,0,0,0,0,0,0,-0.18241859869201585
8420,408,0,0,0,0,0,0,-0.27108301138322727
10597,2,0,0,0,0,0,1,0.011090390384197228
10599,33,0,0,0,0,0,0,-0.013201959205396255
10957,4,0,0,0,0,0,0,0.06414370238780967
10990,20,0,0,0,0,0,6,0.03176389504224062
11012,8,0,0,0,0,0,0,0.8304495112970471
11173,145,0,0,0,0,0,0,-0.0002807202010319097
11299,11,0,0,0,0,0,0,-0.008562299338254052
11487,13,0,0,0,0,0,0,0.00040235886206995395
11506,13,8,0,0,0,0,0,0.0004212581194364022
