run_id,predeclared_run_id,graph_schema,architecture,grna_target_id,rows,positives,positive_rate,mean_score,min_score,max_score
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,1018,4,4,1.0,0.7570597380399704,0.6984817385673523,0.889376699924469
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,1026,2,2,1.0,0.9416403770446777,0.9086592793464661,0.9746214747428894
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,1028,15,1,0.06666666666666667,0.06398695185780526,0.057153068482875824,0.06923819333314896
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,1044,13,1,0.07692307692307693,0.03165452167964899,0.025975851342082024,0.042550526559352875
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,10597,2,2,1.0,0.1392630860209465,0.06300243735313416,0.21552373468875885
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,10599,33,33,1.0,0.9066085941863783,0.7587352395057678,0.9702146649360657
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,1060,15,2,0.13333333333333333,0.07067839726805687,0.04877153038978577,0.10033168643712997
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,1088,13,1,0.07692307692307693,0.2357732206583023,0.14440910518169403,0.38640734553337097
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,10957,4,4,1.0,0.6967141032218933,0.5833648443222046,0.8461025953292847
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,10990,20,20,1.0,0.13769959956407546,0.06650638580322266,0.4902798533439636
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,11012,8,8,1.0,0.7780884355306625,0.6567633152008057,0.937491238117218
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,11173,145,145,1.0,0.9899767222075627,0.849882185459137,0.9983612895011902
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,1120,15,1,0.06666666666666667,0.026633260771632195,0.0233154259622097,0.03015468828380108
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,11299,11,11,1.0,0.8849294185638428,0.8104563355445862,0.9710772633552551
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,11487,13,13,1.0,0.9746199937967154,0.954587996006012,0.9902083873748779
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,11506,13,5,0.38461538461538464,0.9922900658387405,0.9334863424301147,0.9987674951553345
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,1408,9,0,0.0,0.05201112892892626,0.04491275176405907,0.0595075786113739
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,1505,48,48,1.0,0.26976154558360577,0.1459423303604126,0.7591109275817871
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,228,12,5,0.4166666666666667,0.14639186362425485,0.08528591692447662,0.405757337808609
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,278,14,14,1.0,0.7108655912535531,0.5380539894104004,0.9886606931686401
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,3265,35,35,1.0,0.49779444677489143,0.3400549292564392,0.6950939893722534
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,3300,120,120,1.0,0.8864540641506513,0.7401604652404785,0.9871947169303894
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,3420,320,320,1.0,0.13770561018027366,0.1059625893831253,0.5253320932388306
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,635,3,3,1.0,0.9911542733510336,0.9876347184181213,0.9971045851707458
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,7696,126,126,1.0,0.5621096672756332,0.2230955809354782,0.9095204472541809
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,804,4,4,1.0,0.9982667863368988,0.9978780746459961,0.9990426898002625
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,8319,101,101,1.0,0.5827404210473052,0.21802571415901184,0.9186036586761475
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,8420,408,408,1.0,0.2569933874057789,0.1571117788553238,0.813320517539978
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R1_no_context_edges,S7D_R1_no_context_edges,graph_c_context_observation,gatv2,9251,176,96,0.5454545454545454,0.1531750779090957,0.08732081949710846,0.5355654954910278
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R2_edge_blind_attention,S7D_R2_edge_blind_attention,graph_c_context_observation,gatv2,1018,4,4,1.0,0.9935023337602615,0.9860637784004211,0.997393012046814
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R2_edge_blind_attention,S7D_R2_edge_blind_attention,graph_c_context_observation,gatv2,1026,2,2,1.0,0.40136004984378815,0.2639549672603607,0.5387651324272156
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R2_edge_blind_attention,S7D_R2_edge_blind_attention,graph_c_context_observation,gatv2,1028,15,1,0.06666666666666667,0.16235062529643376,0.10646314918994904,0.20067161321640015
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R2_edge_blind_attention,S7D_R2_edge_blind_attention,graph_c_context_observation,gatv2,1044,13,1,0.07692307692307693,0.15489779240809953,0.09439443796873093,0.19687598943710327
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R2_edge_blind_attention,S7D_R2_edge_blind_attention,graph_c_context_observation,gatv2,10597,2,2,1.0,0.24265047162771225,0.14708863198757172,0.3382123112678528
