feature_index,feature_column,source_feature_name,target_context_family,family_expected_count,family_observed_count
0,feature__target_pos_00_A,target_pos_00_A,target_sequence_one_hot,115,115
1,feature__target_pos_00_C,target_pos_00_C,target_sequence_one_hot,115,115
2,feature__target_pos_00_G,target_pos_00_G,target_sequence_one_hot,115,115
3,feature__target_pos_00_T,target_pos_00_T,target_sequence_one_hot,115,115
4,feature__target_pos_00_N,target_pos_00_N,target_sequence_one_hot,115,115
5,feature__target_pos_01_A,target_pos_01_A,target_sequence_one_hot,115,115
6,feature__target_pos_01_C,target_pos_01_C,target_sequence_one_hot,115,115
7,feature__target_pos_01_G,target_pos_01_G,target_sequence_one_hot,115,115
8,feature__target_pos_01_T,target_pos_01_T,target_sequence_one_hot,115,115
9,feature__target_pos_01_N,target_pos_01_N,target_sequence_one_hot,115,115
10,feature__target_pos_02_A,target_pos_02_A,target_sequence_one_hot,115,115
11,feature__target_pos_02_C,target_pos_02_C,target_sequence_one_hot,115,115
12,feature__target_pos_02_G,target_pos_02_G,target_sequence_one_hot,115,115
13,feature__target_pos_02_T,target_pos_02_T,target_sequence_one_hot,115,115
14,feature__target_pos_02_N,target_pos_02_N,target_sequence_one_hot,115,115
15,feature__target_pos_03_A,target_pos_03_A,target_sequence_one_hot,115,115
16,feature__target_pos_03_C,target_pos_03_C,target_sequence_one_hot,115,115
17,feature__target_pos_03_G,target_pos_03_G,target_sequence_one_hot,115,115
18,feature__target_pos_03_T,target_pos_03_T,target_sequence_one_hot,115,115
19,feature__target_pos_03_N,target_pos_03_N,target_sequence_one_hot,115,115
20,feature__target_pos_04_A,target_pos_04_A,target_sequence_one_hot,115,115
21,feature__target_pos_04_C,target_pos_04_C,target_sequence_one_hot,115,115
22,feature__target_pos_04_G,target_pos_04_G,target_sequence_one_hot,115,115
23,feature__target_pos_04_T,target_pos_04_T,target_sequence_one_hot,115,115
24,feature__target_pos_04_N,target_pos_04_N,target_sequence_one_hot,115,115
25,feature__target_pos_05_A,target_pos_05_A,target_sequence_one_hot,115,115
26,feature__target_pos_05_C,target_pos_05_C,target_sequence_one_hot,115,115
27,feature__target_pos_05_G,target_pos_05_G,target_sequence_one_hot,115,115
28,feature__target_pos_05_T,target_pos_05_T,target_sequence_one_hot,115,115
29,feature__target_pos_05_N,target_pos_05_N,target_sequence_one_hot,115,115
30,feature__target_pos_06_A,target_pos_06_A,target_sequence_one_hot,115,115
31,feature__target_pos_06_C,target_pos_06_C,target_sequence_one_hot,115,115
32,feature__target_pos_06_G,target_pos_06_G,target_sequence_one_hot,115,115
33,feature__target_pos_06_T,target_pos_06_T,target_sequence_one_hot,115,115
