split,label,feature_column,source_feature_name,rows,mean,median,std,q25,q75,min,max,nonzero_fraction
test,0,feature__epigen_ctcf,epigen_ctcf,169,-0.11023461360606569,-0.307827690248406,0.8841170825661469,-0.307827690248406,-0.307827690248406,-0.307827690248406,5.87334556145121,1.0
test,0,feature__epigen_dnase,epigen_dnase,169,-0.11793005627134634,-0.11855970923974893,0.006831633389290289,-0.11855970923974893,-0.11855970923974893,-0.11855970923974893,-0.031495876063354154,1.0
test,0,feature__epigen_rrbs,epigen_rrbs,169,-0.061367732431396024,-0.061367732431396024,0.0,-0.061367732431396024,-0.061367732431396024,-0.061367732431396024,-0.061367732431396024,1.0
test,0,feature__epigen_h3k4me3,epigen_h3k4me3,169,-0.23089627718061748,-0.2392285706221873,0.05599556661506381,-0.2392285706221873,-0.2392285706221873,-0.2392285706221873,0.4211487826917507,1.0
test,0,feature__epigen_drip,epigen_drip,169,-0.12596819700303385,-0.1952131905179068,0.6327492173792445,-0.1952131905179068,-0.1952131905179068,-0.1952131905179068,5.655988761488864,1.0
test,0,feature__MNase,MNase,169,-0.3097416826954115,-0.4757739097267971,0.8239808916886283,-0.4757739097267971,-0.4757739097267971,-0.4757739097267971,5.080552103798758,1.0
test,1,feature__epigen_ctcf,epigen_ctcf,1533,0.004357046093417193,-0.307827690248406,1.0078046977574437,-0.307827690248406,-0.307827690248406,-0.307827690248406,7.1393689985463125,1.0
test,1,feature__epigen_dnase,epigen_dnase,1533,0.02387109300888529,-0.11855970923974893,0.9661067352181559,-0.11855970923974893,-0.11855970923974893,-0.11855970923974893,9.555199532581893,1.0
test,1,feature__epigen_rrbs,epigen_rrbs,1533,-0.061099966749317294,-0.061367732431396024,0.00740845270701348,-0.061367732431396024,-0.061367732431396024,-0.061367732431396024,0.1438746628819577,1.0
test,1,feature__epigen_h3k4me3,epigen_h3k4me3,1533,-0.006965080331118099,-0.2392285706221873,1.0405948170539294,-0.2392285706221873,-0.2392285706221873,-0.2392285706221873,9.472203095759253,1.0
test,1,feature__epigen_drip,epigen_drip,1533,0.12881286200242115,-0.1952131905179068,1.3112714282169955,-0.1952131905179068,-0.1952131905179068,-0.1952131905179068,5.655988761488864,1.0
test,1,feature__MNase,MNase,1533,0.7664695936389512,0.2209036125550334,1.6803417189740222,-0.25430756737980587,1.1911238943308737,-0.4757739097267971,23.694244249109452,1.0
train,0,feature__epigen_ctcf,epigen_ctcf,901,0.002334413799342978,-0.307827690248406,1.1657669103951862,-0.307827690248406,-0.307827690248406,-0.307827690248406,6.841481130994524,1.0
train,0,feature__epigen_dnase,epigen_dnase,901,-0.07203762400688193,-0.11855970923974893,0.49488840782287125,-0.11855970923974893,-0.11855970923974893,-0.11855970923974893,6.256447631120714,1.0
train,0,feature__epigen_rrbs,epigen_rrbs,901,-0.035854804268137856,-0.061367732431396024,0.6881942934404301,-0.061367732431396024,-0.061367732431396024,-0.061367732431396024,20.462871798903976,1.0
train,0,feature__epigen_h3k4me3,epigen_h3k4me3,901,-0.16956710240928696,-0.2392285706221873,0.5691390984961067,-0.2392285706221873,-0.2392285706221873,-0.2392285706221873,7.724145395810594,1.0
train,0,feature__epigen_drip,epigen_drip,901,-0.13609721785517914,-0.1952131905179068,0.5270417827459524,-0.1952131905179068,-0.1952131905179068,-0.1952131905179068,5.655988761488864,1.0
train,0,feature__MNase,MNase,901,-0.24225236946170456,-0.4757739097267971,0.9092067146659047,-0.4757739097267971,-0.4757739097267971,-0.4757739097267971,9.611514084461163,1.0
train,1,feature__epigen_ctcf,epigen_ctcf,7109,-0.0002958653584481636,-0.307827690248406,0.9769839861596826,-0.307827690248406,-0.307827690248406,-0.307827690248406,7.1393689985463125,1.0
train,1,feature__epigen_dnase,epigen_dnase,7109,0.009130102578449905,-0.11855970923974893,1.0464029000356054,-0.11855970923974893,-0.11855970923974893,-0.11855970923974893,9.555199532581893,1.0
train,1,feature__epigen_rrbs,epigen_rrbs,7109,0.004544264825656513,-0.061367732431396024,1.032730024901162,-0.061367732431396024,-0.061367732431396024,-0.061367732431396024,20.462871798903976,1.0
train,1,feature__epigen_h3k4me3,epigen_h3k4me3,7109,0.02149106193146255,-0.2392285706221873,1.0399908322758176,-0.2392285706221873,-0.2392285706221873,-0.2392285706221873,9.472203095759253,1.0
train,1,feature__epigen_drip,epigen_drip,7109,0.017249063621819712,-0.1952131905179068,1.0434991650964898,-0.1952131905179068,-0.1952131905179068,-0.1952131905179068,5.655988761488864,1.0
train,1,feature__MNase,MNase,7109,0.030703247275987573,-0.2695501901324328,1.0067715814643734,-0.4757739097267971,0.1671061204869386,-0.4757739097267971,26.750223556548516,1.0
