split,feature_column,source_feature_name,rows_negative,rows_positive,mean_negative,mean_positive,median_negative,median_positive,std_negative,std_positive,standardized_mean_difference_pos_minus_neg,abs_smd
test,feature__epigen_ctcf,epigen_ctcf,169,1533,-0.11023461360606569,0.004357046093417193,-0.307827690248406,-0.307827690248406,0.8841170825661469,1.0078046977574437,0.12087978923873244,0.12087978923873244
test,feature__epigen_dnase,epigen_dnase,169,1533,-0.11793005627134634,0.02387109300888529,-0.11855970923974893,-0.11855970923974893,0.006831633389290289,0.9661067352181559,0.2075672258446825,0.2075672258446825
test,feature__epigen_rrbs,epigen_rrbs,169,1533,-0.061367732431396024,-0.061099966749317294,-0.061367732431396024,-0.061367732431396024,0.0,0.00740845270701348,0.05111429796606966,0.05111429796606966
test,feature__epigen_h3k4me3,epigen_h3k4me3,169,1533,-0.23089627718061748,-0.006965080331118099,-0.2392285706221873,-0.2392285706221873,0.05599556661506381,1.0405948170539294,0.3038925615624402,0.3038925615624402
test,feature__epigen_drip,epigen_drip,169,1533,-0.12596819700303385,0.12881286200242115,-0.1952131905179068,-0.1952131905179068,0.6327492173792445,1.3112714282169955,0.2474766615374374,0.2474766615374374
test,feature__MNase,MNase,169,1533,-0.3097416826954115,0.7664695936389512,-0.4757739097267971,0.2209036125550334,0.8239808916886283,1.6803417189740222,0.8132496972484466,0.8132496972484466
train,feature__epigen_ctcf,epigen_ctcf,901,7109,0.002334413799342978,-0.0002958653584481636,-0.307827690248406,-0.307827690248406,1.1657669103951862,0.9769839861596826,-0.0024455758230775286,0.0024455758230775286
train,feature__epigen_dnase,epigen_dnase,901,7109,-0.07203762400688193,0.009130102578449905,-0.11855970923974893,-0.11855970923974893,0.49488840782287125,1.0464029000356054,0.09916683907914059,0.09916683907914059
train,feature__epigen_rrbs,epigen_rrbs,901,7109,-0.035854804268137856,0.004544264825656513,-0.061367732431396024,-0.061367732431396024,0.6881942934404301,1.032730024901162,0.046036879282208426,0.046036879282208426
train,feature__epigen_h3k4me3,epigen_h3k4me3,901,7109,-0.16956710240928696,0.02149106193146255,-0.2392285706221873,-0.2392285706221873,0.5691390984961067,1.0399908322758176,0.22791092085220319,0.22791092085220319
train,feature__epigen_drip,epigen_drip,901,7109,-0.13609721785517914,0.017249063621819712,-0.1952131905179068,-0.1952131905179068,0.5270417827459524,1.0434991650964898,0.18550577808801041,0.18550577808801041
train,feature__MNase,MNase,901,7109,-0.24225236946170456,0.030703247275987573,-0.4757739097267971,-0.2695501901324328,0.9092067146659047,1.0067715814643734,0.28455689132958073,0.28455689132958073
val,feature__epigen_ctcf,epigen_ctcf,223,1511,-0.0256357080945254,-0.025440440556484516,-0.307827690248406,-0.307827690248406,1.1518927850164615,0.9745050528288913,0.00018302465268067635,0.00018302465268067635
val,feature__epigen_dnase,epigen_dnase,223,1511,-0.11855970923974896,0.02583603261335849,-0.11855970923974893,-0.11855970923974893,2.7755575615628914e-17,0.9909478649806084,0.20607180629183247,0.20607180629183247
val,feature__epigen_rrbs,epigen_rrbs,223,1511,-0.06136773243139604,-0.019938923317846805,-0.061367732431396024,-0.061367732431396024,1.3877787807814457e-17,0.7951184041534543,0.07368611192408013,0.07368611192408013
val,feature__epigen_h3k4me3,epigen_h3k4me3,223,1511,-0.16219035260501802,-0.03417018060504646,-0.2392285706221873,-0.2392285706221873,0.6184435392200975,0.9976243628158057,0.15424526961588056,0.15424526961588056
val,feature__epigen_drip,epigen_drip,223,1511,-0.19319282033716906,0.16829321480097312,-0.1952131905179068,-0.1952131905179068,0.01626152412305827,1.3825025689925512,0.36975200203397957,0.36975200203397957
val,feature__MNase,MNase,223,1511,-0.29874454339115786,1.2164704456195408,-0.4757739097267971,0.4047117104543582,0.9369923157577402,2.300661292558092,0.8626042402682845,0.8626042402682845
