run_id,predeclared_run_id,target_observation_mask_families,test_auprc,delta_auprc_vs_no_context_edge_gatv2,delta_mcc_vs_no_context_edge_gatv2,delta_auprc_vs_full_graph_c_gatv2,delta_auprc_vs_graph_a_gcn,delta_auprc_vs_graph_c_gcn,delta_auprc_vs_xgboost_f4,test_mcc,test_specificity,test_tn,test_fp
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_REF_XGB_F4,S7E_REF_XGB_F4,,0.992522,0.02692400000000006,-0.17277200000000004,0.02344353703078439,0.01558651255348642,0.020041228476298634,0.0,0.345198,,38,131
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_REF_GRAPH_A_GCN,S7E_REF_GRAPH_A_GCN,,0.9769354874465136,0.011337487446513639,-0.03425092208690217,0.00785702447729797,0.0,0.0044547159228122135,-0.01558651255348642,0.4837190779130979,0.2899408284023668,49,120
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_REF_GRAPH_C_GCN,S7E_REF_GRAPH_C_GCN,,0.9724807715237014,0.006882771523701425,-0.24368281218721782,0.0034023085544857556,-0.0044547159228122135,0.0,-0.020041228476298634,0.2742871878127822,0.0828402366863905,14,155
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_REF_FULL_GRAPH_C_GATV2,S7E_REF_FULL_GRAPH_C_GATV2,,0.9690784629692156,0.0034804629692156697,0.013804231374339282,0.0,-0.00785702447729797,-0.0034023085544857556,-0.02344353703078439,0.5317742313743393,0.3727810650887574,63,106
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_REF_NO_CONTEXT_EDGE_GATV2,S7E_REF_NO_CONTEXT_EDGE_GATV2,,0.965598,0.0,0.0,-0.0034804629692156697,-0.011337487446513639,-0.006882771523701425,-0.02692400000000006,0.51797,0.366864,62,107
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R1_mask_target_sequence,S7E_R1_mask_target_sequence,target_sequence_one_hot,0.9701509491180553,0.004552949118055372,-0.02837263745886548,0.001072486148839702,-0.006784538328458267,-0.0023298224056460537,-0.022371050881944687,0.48959736254113456,0.33136094674556216,56,113
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R2_mask_experimental_epigenetic,S7E_R2_mask_experimental_epigenetic,experimental_epigenetic,0.8853206408005234,-0.08027735919947654,-0.52935840260537,-0.08375782216869221,-0.09161484664599018,-0.08716013072317796,-0.1072013591994766,-0.011388402605370043,0.0,0,169
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R3_mask_computed_nucleosome_aggregates,S7E_R3_mask_computed_nucleosome_aggregates,computed_nucleosome_aggregates,0.9559152207424239,-0.009682779257576102,-0.006162384231039986,-0.013163242226791771,-0.02102026670408974,-0.016565550781277527,-0.03660677925757616,0.5118076157689601,0.31952662721893493,54,115
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R4_mask_computed_nucleosome_missingness,S7E_R4_mask_computed_nucleosome_missingness,computed_nucleosome_missingness,0.9499467845540258,-0.015651215445974143,-0.07040782122519179,-0.019131678415189812,-0.02698870289248778,-0.022533986969675568,-0.0425752154459742,0.44756217877480825,0.23076923076923078,39,130
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R5_mask_all_nonsequence_context,S7E_R5_mask_all_nonsequence_context,all_nonsequence_context,0.8906602707310771,-0.07493772926892284,-0.52935840260537,-0.0784181922381385,-0.08627521671543648,-0.08182050079262426,-0.1018617292689229,-0.011388402605370043,0.0,0,169
