run_id,predeclared_run_id,split,graph_schema,target_observation_mask_families,masked_column_count,masked_column_indexes,masked_column_names,target_observation_feature_dim,masked_feature_abs_sum_before_mask,masked_feature_abs_sum_after_mask,unmasked_feature_abs_sum_after_mask,drop_context_similarity_edges,context_edges_available,context_edges_used,attention_edges,attention_edge_attr_dim,candidate_attention_attr_abs_sum,context_attention_attr_abs_sum,classifier_candidate_edge_attr_dim,classifier_candidate_edge_attr_abs_sum
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R1_mask_target_sequence,S7E_R1_mask_target_sequence,train,graph_c_context_observation,target_sequence_one_hot,115,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114","feature__target_pos_00_A,feature__target_pos_00_C,feature__target_pos_00_G,feature__target_pos_00_T,feature__target_pos_00_N,feature__target_pos_01_A,feature__target_pos_01_C,feature__target_pos_01_G,feature__target_pos_01_T,feature__target_pos_01_N,feature__target_pos_02_A,feature__target_pos_02_C,feature__target_pos_02_G,feature__target_pos_02_T,feature__target_pos_02_N,feature__target_pos_03_A,feature__target_pos_03_C,feature__target_pos_03_G,feature__target_pos_03_T,feature__target_pos_03_N,feature__target_pos_04_A,feature__target_pos_04_C,feature__target_pos_04_G,feature__target_pos_04_T,feature__target_pos_04_N,feature__target_pos_05_A,feature__target_pos_05_C,feature__target_pos_05_G,feature__target_pos_05_T,feature__target_pos_05_N,feature__target_pos_06_A,feature__target_pos_06_C,feature__target_pos_06_G,feature__target_pos_06_T,feature__target_pos_06_N,feature__target_pos_07_A,feature__target_pos_07_C,feature__target_pos_07_G,feature__target_pos_07_T,feature__target_pos_07_N,feature__target_pos_08_A,feature__target_pos_08_C,feature__target_pos_08_G,feature__target_pos_08_T,feature__target_pos_08_N,feature__target_pos_09_A,feature__target_pos_09_C,feature__target_pos_09_G,feature__target_pos_09_T,feature__target_pos_09_N,feature__target_pos_10_A,feature__target_pos_10_C,feature__target_pos_10_G,feature__target_pos_10_T,feature__target_pos_10_N,feature__target_pos_11_A,feature__target_pos_11_C,feature__target_pos_11_G,feature__target_pos_11_T,feature__target_pos_11_N,feature__target_pos_12_A,feature__target_pos_12_C,feature__target_pos_12_G,feature__target_pos_12_T,feature__target_pos_12_N,feature__target_pos_13_A,feature__target_pos_13_C,feature__target_pos_13_G,feature__target_pos_13_T,feature__target_pos_13_N,feature__target_pos_14_A,feature__target_pos_14_C,feature__target_pos_14_G,feature__target_pos_14_T,feature__target_pos_14_N,feature__target_pos_15_A,feature__target_pos_15_C,feature__target_pos_15_G,feature__target_pos_15_T,feature__target_pos_15_N,feature__target_pos_16_A,feature__target_pos_16_C,feature__target_pos_16_G,feature__target_pos_16_T,feature__target_pos_16_N,feature__target_pos_17_A,feature__target_pos_17_C,feature__target_pos_17_G,feature__target_pos_17_T,feature__target_pos_17_N,feature__target_pos_18_A,feature__target_pos_18_C,feature__target_pos_18_G,feature__target_pos_18_T,feature__target_pos_18_N,feature__target_pos_19_A,feature__target_pos_19_C,feature__target_pos_19_G,feature__target_pos_19_T,feature__target_pos_19_N,feature__target_pos_20_A,feature__target_pos_20_C,feature__target_pos_20_G,feature__target_pos_20_T,feature__target_pos_20_N,feature__target_pos_21_A,feature__target_pos_21_C,feature__target_pos_21_G,feature__target_pos_21_T,feature__target_pos_21_N,feature__target_pos_22_A,feature__target_pos_22_C,feature__target_pos_22_G,feature__target_pos_22_T,feature__target_pos_22_N",212,184230.0,0.0,507457.25,True,59450,0,16020,268,3089287.5,0.0,268,1544643.875
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R1_mask_target_sequence,S7E_R1_mask_target_sequence,val,graph_c_context_observation,target_sequence_one_hot,115,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114","feature__target_pos_00_A,feature__target_pos_00_C,feature__target_pos_00_G,feature__target_pos_00_T,feature__target_pos_00_N,feature__target_pos_01_A,feature__target_pos_01_C,feature__target_pos_01_G,feature__target_pos_01_T,feature__target_pos_01_N,feature__target_pos_02_A,feature__target_pos_02_C,feature__target_pos_02_G,feature__target_pos_02_T,feature__target_pos_02_N,feature__target_pos_03_A,feature__target_pos_03_C,feature__target_pos_03_G,feature__target_pos_03_T,feature__target_pos_03_N,feature__target_pos_04_A,feature__target_pos_04_C,feature__target_pos_04_G,feature__target_pos_04_T,feature__target_pos_04_N,feature__target_pos_05_A,feature__target_pos_05_C,feature__target_pos_05_G,feature__target_pos_05_T,feature__target_pos_05_N,feature__target_pos_06_A,feature__target_pos_06_C,feature__target_pos_06_G,feature__target_pos_06_T,feature__target_pos_06_N,feature__target_pos_07_A,feature__target_pos_07_C,feature__target_pos_07_G,feature__target_pos_07_T,feature__target_pos_07_N,feature__target_pos_08_A,feature__target_pos_08_C,feature__target_pos_08_G,feature__target_pos_08_T,feature__target_pos_08_N,feature__target_pos_09_A,feature__target_pos_09_C,feature__target_pos_09_G,feature__target_pos_09_T,feature__target_pos_09_N,feature__target_pos_10_A,feature__target_pos_10_C,feature__target_pos_10_G,feature__target_pos_10_T,feature__target_pos_10_N,feature__target_pos_11_A,feature__target_pos_11_C,feature__target_pos_11_G,feature__target_pos_11_T,feature__target_pos_11_N,feature__target_pos_12_A,feature__target_pos_12_C,feature__target_pos_12_G,feature__target_pos_12_T,feature__target_pos_12_N,feature__target_pos_13_A,feature__target_pos_13_C,feature__target_pos_13_G,feature__target_pos_13_T,feature__target_pos_13_N,feature__target_pos_14_A,feature__target_pos_14_C,feature__target_pos_14_G,feature__target_pos_14_T,feature__target_pos_14_N,feature__target_pos_15_A,feature__target_pos_15_C,feature__target_pos_15_G,feature__target_pos_15_T,feature__target_pos_15_N,feature__target_pos_16_A,feature__target_pos_16_C,feature__target_pos_16_G,feature__target_pos_16_T,feature__target_pos_16_N,feature__target_pos_17_A,feature__target_pos_17_C,feature__target_pos_17_G,feature__target_pos_17_T,feature__target_pos_17_N,feature__target_pos_18_A,feature__target_pos_18_C,feature__target_pos_18_G,feature__target_pos_18_T,feature__target_pos_18_N,feature__target_pos_19_A,feature__target_pos_19_C,feature__target_pos_19_G,feature__target_pos_19_T,feature__target_pos_19_N,feature__target_pos_20_A,feature__target_pos_20_C,feature__target_pos_20_G,feature__target_pos_20_T,feature__target_pos_20_N,feature__target_pos_21_A,feature__target_pos_21_C,feature__target_pos_21_G,feature__target_pos_21_T,feature__target_pos_21_N,feature__target_pos_22_A,feature__target_pos_22_C,feature__target_pos_22_G,feature__target_pos_22_T,feature__target_pos_22_N",212,224112.0,0.0,615077.375,True,75822,0,19488,268,3754709.0,0.0,268,1877354.5
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R1_mask_target_sequence,S7E_R1_mask_target_sequence,test,graph_c_context_observation,target_sequence_one_hot,115,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114","feature__target_pos_00_A,feature__target_pos_00_C,feature__target_pos_00_G,feature__target_pos_00_T,feature__target_pos_00_N,feature__target_pos_01_A,feature__target_pos_01_C,feature__target_pos_01_G,feature__target_pos_01_T,feature__target_pos_01_N,feature__target_pos_02_A,feature__target_pos_02_C,feature__target_pos_02_G,feature__target_pos_02_T,feature__target_pos_02_N,feature__target_pos_03_A,feature__target_pos_03_C,feature__target_pos_03_G,feature__target_pos_03_T,feature__target_pos_03_N,feature__target_pos_04_A,feature__target_pos_04_C,feature__target_pos_04_G,feature__target_pos_04_T,feature__target_pos_04_N,feature__target_pos_05_A,feature__target_pos_05_C,feature__target_pos_05_G,feature__target_pos_05_T,feature__target_pos_05_N,feature__target_pos_06_A,feature__target_pos_06_C,feature__target_pos_06_G,feature__target_pos_06_T,feature__target_pos_06_N,feature__target_pos_07_A,feature__target_pos_07_C,feature__target_pos_07_G,feature__target_pos_07_T,feature__target_pos_07_N,feature__target_pos_08_A,feature__target_pos_08_C,feature__target_pos_08_G,feature__target_pos_08_T,feature__target_pos_08_N,feature__target_pos_09_A,feature__target_pos_09_C,feature__target_pos_09_G,feature__target_pos_09_T,feature__target_pos_09_N,feature__target_pos_10_A,feature__target_pos_10_C,feature__target_pos_10_G,feature__target_pos_10_T,feature__target_pos_10_N,feature__target_pos_11_A,feature__target_pos_11_C,feature__target_pos_11_G,feature__target_pos_11_T,feature__target_pos_11_N,feature__target_pos_12_A,feature__target_pos_12_C,feature__target_pos_12_G,feature__target_pos_12_T,feature__target_pos_12_N,feature__target_pos_13_A,feature__target_pos_13_C,feature__target_pos_13_G,feature__target_pos_13_T,feature__target_pos_13_N,feature__target_pos_14_A,feature__target_pos_14_C,feature__target_pos_14_G,feature__target_pos_14_T,feature__target_pos_14_N,feature__target_pos_15_A,feature__target_pos_15_C,feature__target_pos_15_G,feature__target_pos_15_T,feature__target_pos_15_N,feature__target_pos_16_A,feature__target_pos_16_C,feature__target_pos_16_G,feature__target_pos_16_T,feature__target_pos_16_N,feature__target_pos_17_A,feature__target_pos_17_C,feature__target_pos_17_G,feature__target_pos_17_T,feature__target_pos_17_N,feature__target_pos_18_A,feature__target_pos_18_C,feature__target_pos_18_G,feature__target_pos_18_T,feature__target_pos_18_N,feature__target_pos_19_A,feature__target_pos_19_C,feature__target_pos_19_G,feature__target_pos_19_T,feature__target_pos_19_N,feature__target_pos_20_A,feature__target_pos_20_C,feature__target_pos_20_G,feature__target_pos_20_T,feature__target_pos_20_N,feature__target_pos_21_A,feature__target_pos_21_C,feature__target_pos_21_G,feature__target_pos_21_T,feature__target_pos_21_N,feature__target_pos_22_A,feature__target_pos_22_C,feature__target_pos_22_G,feature__target_pos_22_T,feature__target_pos_22_N",212,223376.0,0.0,614295.375,True,75382,0,19424,268,3711804.5,0.0,268,1855902.25
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R2_mask_experimental_epigenetic,S7E_R2_mask_experimental_epigenetic,train,graph_c_context_observation,experimental_epigenetic,6,"115,116,117,118,119,120","feature__epigen_ctcf,feature__epigen_dnase,feature__epigen_rrbs,feature__epigen_h3k4me3,feature__epigen_drip,feature__MNase",212,17439.5703125,0.0,674247.6875,True,59450,0,16020,268,3089287.5,0.0,268,1544643.875
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R2_mask_experimental_epigenetic,S7E_R2_mask_experimental_epigenetic,val,graph_c_context_observation,experimental_epigenetic,6,"115,116,117,118,119,120","feature__epigen_ctcf,feature__epigen_dnase,feature__epigen_rrbs,feature__epigen_h3k4me3,feature__epigen_drip,feature__MNase",212,22688.005859375,0.0,816501.3125,True,75822,0,19488,268,3754709.0,0.0,268,1877354.5
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R2_mask_experimental_epigenetic,S7E_R2_mask_experimental_epigenetic,test,graph_c_context_observation,experimental_epigenetic,6,"115,116,117,118,119,120","feature__epigen_ctcf,feature__epigen_dnase,feature__epigen_rrbs,feature__epigen_h3k4me3,feature__epigen_drip,feature__MNase",212,21969.3359375,0.0,815702.0,True,75382,0,19424,268,3711804.5,0.0,268,1855902.25
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R3_mask_computed_nucleosome_aggregates,S7E_R3_mask_computed_nucleosome_aggregates,train,graph_c_context_observation,computed_nucleosome_aggregates,78,"121,122,123,124,125,126,128,129,130,131,132,133,135,136,137,138,139,140,142,143,144,145,146,147,149,150,151,152,153,154,156,157,158,159,160,161,163,164,165,166,167,168,170,171,172,173,174,175,177,178,179,180,181,182,184,185,186,187,188,189,191,192,193,194,195,196,198,199,200,201,202,203,205,206,207,208,209,210","feature__GCContent_mean,feature__GCContent_std,feature__GCContent_min,feature__GCContent_max,feature__GCContent_center,feature__GCContent_pam_proximal_mean,feature__WSScore_mean,feature__WSScore_std,feature__WSScore_min,feature__WSScore_max,feature__WSScore_center,feature__WSScore_pam_proximal_mean,feature__YRScore_mean,feature__YRScore_std,feature__YRScore_min,feature__YRScore_max,feature__YRScore_center,feature__YRScore_pam_proximal_mean,feature__NucleotideBDM_mean,feature__NucleotideBDM_std,feature__NucleotideBDM_min,feature__NucleotideBDM_max,feature__NucleotideBDM_center,feature__NucleotideBDM_pam_proximal_mean,feature__StrongWeakBDM_mean,feature__StrongWeakBDM_std,feature__StrongWeakBDM_min,feature__StrongWeakBDM_max,feature__StrongWeakBDM_center,feature__StrongWeakBDM_pam_proximal_mean,feature__NuPoP_Occup_147_human_mean,feature__NuPoP_Occup_147_human_std,feature__NuPoP_Occup_147_human_min,feature__NuPoP_Occup_147_human_max,feature__NuPoP_Occup_147_human_center,feature__NuPoP_Occup_147_human_pam_proximal_mean,feature__NuPoP_Viterbi_147_human_mean,feature__NuPoP_Viterbi_147_human_std,feature__NuPoP_Viterbi_147_human_min,feature__NuPoP_Viterbi_147_human_max,feature__NuPoP_Viterbi_147_human_center,feature__NuPoP_Viterbi_147_human_pam_proximal_mean,feature__NuPoP_Affinity_147_human_mean,feature__NuPoP_Affinity_147_human_std,feature__NuPoP_Affinity_147_human_min,feature__NuPoP_Affinity_147_human_max,feature__NuPoP_Affinity_147_human_center,feature__NuPoP_Affinity_147_human_pam_proximal_mean,feature__nuCpos_Occup_147_yeast_mean,feature__nuCpos_Occup_147_yeast_std,feature__nuCpos_Occup_147_yeast_min,feature__nuCpos_Occup_147_yeast_max,feature__nuCpos_Occup_147_yeast_center,feature__nuCpos_Occup_147_yeast_pam_proximal_mean,feature__nuCpos_Viterbi_147_yeast_mean,feature__nuCpos_Viterbi_147_yeast_std,feature__nuCpos_Viterbi_147_yeast_min,feature__nuCpos_Viterbi_147_yeast_max,feature__nuCpos_Viterbi_147_yeast_center,feature__nuCpos_Viterbi_147_yeast_pam_proximal_mean,feature__nuCpos_Affinity_147_yeast_mean,feature__nuCpos_Affinity_147_yeast_std,feature__nuCpos_Affinity_147_yeast_min,feature__nuCpos_Affinity_147_yeast_max,feature__nuCpos_Affinity_147_yeast_center,feature__nuCpos_Affinity_147_yeast_pam_proximal_mean,feature__VanDerHeijden_mean,feature__VanDerHeijden_std,feature__VanDerHeijden_min,feature__VanDerHeijden_max,feature__VanDerHeijden_center,feature__VanDerHeijden_pam_proximal_mean,feature__LeNupH3Q85C_mean,feature__LeNupH3Q85C_std,feature__LeNupH3Q85C_min,feature__LeNupH3Q85C_max,feature__LeNupH3Q85C_center,feature__LeNupH3Q85C_pam_proximal_mean",212,433109.65625,0.0,258577.5625,True,59450,0,16020,268,3089287.5,0.0,268,1544643.875
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R3_mask_computed_nucleosome_aggregates,S7E_R3_mask_computed_nucleosome_aggregates,val,graph_c_context_observation,computed_nucleosome_aggregates,78,"121,122,123,124,125,126,128,129,130,131,132,133,135,136,137,138,139,140,142,143,144,145,146,147,149,150,151,152,153,154,156,157,158,159,160,161,163,164,165,166,167,168,170,171,172,173,174,175,177,178,179,180,181,182,184,185,186,187,188,189,191,192,193,194,195,196,198,199,200,201,202,203,205,206,207,208,209,210","feature__GCContent_mean,feature__GCContent_std,feature__GCContent_min,feature__GCContent_max,feature__GCContent_center,feature__GCContent_pam_proximal_mean,feature__WSScore_mean,feature__WSScore_std,feature__WSScore_min,feature__WSScore_max,feature__WSScore_center,feature__WSScore_pam_proximal_mean,feature__YRScore_mean,feature__YRScore_std,feature__YRScore_min,feature__YRScore_max,feature__YRScore_center,feature__YRScore_pam_proximal_mean,feature__NucleotideBDM_mean,feature__NucleotideBDM_std,feature__NucleotideBDM_min,feature__NucleotideBDM_max,feature__NucleotideBDM_center,feature__NucleotideBDM_pam_proximal_mean,feature__StrongWeakBDM_mean,feature__StrongWeakBDM_std,feature__StrongWeakBDM_min,feature__StrongWeakBDM_max,feature__StrongWeakBDM_center,feature__StrongWeakBDM_pam_proximal_mean,feature__NuPoP_Occup_147_human_mean,feature__NuPoP_Occup_147_human_std,feature__NuPoP_Occup_147_human_min,feature__NuPoP_Occup_147_human_max,feature__NuPoP_Occup_147_human_center,feature__NuPoP_Occup_147_human_pam_proximal_mean,feature__NuPoP_Viterbi_147_human_mean,feature__NuPoP_Viterbi_147_human_std,feature__NuPoP_Viterbi_147_human_min,feature__NuPoP_Viterbi_147_human_max,feature__NuPoP_Viterbi_147_human_center,feature__NuPoP_Viterbi_147_human_pam_proximal_mean,feature__NuPoP_Affinity_147_human_mean,feature__NuPoP_Affinity_147_human_std,feature__NuPoP_Affinity_147_human_min,feature__NuPoP_Affinity_147_human_max,feature__NuPoP_Affinity_147_human_center,feature__NuPoP_Affinity_147_human_pam_proximal_mean,feature__nuCpos_Occup_147_yeast_mean,feature__nuCpos_Occup_147_yeast_std,feature__nuCpos_Occup_147_yeast_min,feature__nuCpos_Occup_147_yeast_max,feature__nuCpos_Occup_147_yeast_center,feature__nuCpos_Occup_147_yeast_pam_proximal_mean,feature__nuCpos_Viterbi_147_yeast_mean,feature__nuCpos_Viterbi_147_yeast_std,feature__nuCpos_Viterbi_147_yeast_min,feature__nuCpos_Viterbi_147_yeast_max,feature__nuCpos_Viterbi_147_yeast_center,feature__nuCpos_Viterbi_147_yeast_pam_proximal_mean,feature__nuCpos_Affinity_147_yeast_mean,feature__nuCpos_Affinity_147_yeast_std,feature__nuCpos_Affinity_147_yeast_min,feature__nuCpos_Affinity_147_yeast_max,feature__nuCpos_Affinity_147_yeast_center,feature__nuCpos_Affinity_147_yeast_pam_proximal_mean,feature__VanDerHeijden_mean,feature__VanDerHeijden_std,feature__VanDerHeijden_min,feature__VanDerHeijden_max,feature__VanDerHeijden_center,feature__VanDerHeijden_pam_proximal_mean,feature__LeNupH3Q85C_mean,feature__LeNupH3Q85C_std,feature__LeNupH3Q85C_min,feature__LeNupH3Q85C_max,feature__LeNupH3Q85C_center,feature__LeNupH3Q85C_pam_proximal_mean",212,524991.75,0.0,314197.5625,True,75822,0,19488,268,3754709.0,0.0,268,1877354.5
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R3_mask_computed_nucleosome_aggregates,S7E_R3_mask_computed_nucleosome_aggregates,test,graph_c_context_observation,computed_nucleosome_aggregates,78,"121,122,123,124,125,126,128,129,130,131,132,133,135,136,137,138,139,140,142,143,144,145,146,147,149,150,151,152,153,154,156,157,158,159,160,161,163,164,165,166,167,168,170,171,172,173,174,175,177,178,179,180,181,182,184,185,186,187,188,189,191,192,193,194,195,196,198,199,200,201,202,203,205,206,207,208,209,210","feature__GCContent_mean,feature__GCContent_std,feature__GCContent_min,feature__GCContent_max,feature__GCContent_center,feature__GCContent_pam_proximal_mean,feature__WSScore_mean,feature__WSScore_std,feature__WSScore_min,feature__WSScore_max,feature__WSScore_center,feature__WSScore_pam_proximal_mean,feature__YRScore_mean,feature__YRScore_std,feature__YRScore_min,feature__YRScore_max,feature__YRScore_center,feature__YRScore_pam_proximal_mean,feature__NucleotideBDM_mean,feature__NucleotideBDM_std,feature__NucleotideBDM_min,feature__NucleotideBDM_max,feature__NucleotideBDM_center,feature__NucleotideBDM_pam_proximal_mean,feature__StrongWeakBDM_mean,feature__StrongWeakBDM_std,feature__StrongWeakBDM_min,feature__StrongWeakBDM_max,feature__StrongWeakBDM_center,feature__StrongWeakBDM_pam_proximal_mean,feature__NuPoP_Occup_147_human_mean,feature__NuPoP_Occup_147_human_std,feature__NuPoP_Occup_147_human_min,feature__NuPoP_Occup_147_human_max,feature__NuPoP_Occup_147_human_center,feature__NuPoP_Occup_147_human_pam_proximal_mean,feature__NuPoP_Viterbi_147_human_mean,feature__NuPoP_Viterbi_147_human_std,feature__NuPoP_Viterbi_147_human_min,feature__NuPoP_Viterbi_147_human_max,feature__NuPoP_Viterbi_147_human_center,feature__NuPoP_Viterbi_147_human_pam_proximal_mean,feature__NuPoP_Affinity_147_human_mean,feature__NuPoP_Affinity_147_human_std,feature__NuPoP_Affinity_147_human_min,feature__NuPoP_Affinity_147_human_max,feature__NuPoP_Affinity_147_human_center,feature__NuPoP_Affinity_147_human_pam_proximal_mean,feature__nuCpos_Occup_147_yeast_mean,feature__nuCpos_Occup_147_yeast_std,feature__nuCpos_Occup_147_yeast_min,feature__nuCpos_Occup_147_yeast_max,feature__nuCpos_Occup_147_yeast_center,feature__nuCpos_Occup_147_yeast_pam_proximal_mean,feature__nuCpos_Viterbi_147_yeast_mean,feature__nuCpos_Viterbi_147_yeast_std,feature__nuCpos_Viterbi_147_yeast_min,feature__nuCpos_Viterbi_147_yeast_max,feature__nuCpos_Viterbi_147_yeast_center,feature__nuCpos_Viterbi_147_yeast_pam_proximal_mean,feature__nuCpos_Affinity_147_yeast_mean,feature__nuCpos_Affinity_147_yeast_std,feature__nuCpos_Affinity_147_yeast_min,feature__nuCpos_Affinity_147_yeast_max,feature__nuCpos_Affinity_147_yeast_center,feature__nuCpos_Affinity_147_yeast_pam_proximal_mean,feature__VanDerHeijden_mean,feature__VanDerHeijden_std,feature__VanDerHeijden_min,feature__VanDerHeijden_max,feature__VanDerHeijden_center,feature__VanDerHeijden_pam_proximal_mean,feature__LeNupH3Q85C_mean,feature__LeNupH3Q85C_std,feature__LeNupH3Q85C_min,feature__LeNupH3Q85C_max,feature__LeNupH3Q85C_center,feature__LeNupH3Q85C_pam_proximal_mean",212,527124.0,0.0,310547.375,True,75382,0,19424,268,3711804.5,0.0,268,1855902.25
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R4_mask_computed_nucleosome_missingness,S7E_R4_mask_computed_nucleosome_missingness,train,graph_c_context_observation,computed_nucleosome_missingness,13,"127,134,141,148,155,162,169,176,183,190,197,204,211","feature__GCContent_missing,feature__WSScore_missing,feature__YRScore_missing,feature__NucleotideBDM_missing,feature__StrongWeakBDM_missing,feature__NuPoP_Occup_147_human_missing,feature__NuPoP_Viterbi_147_human_missing,feature__NuPoP_Affinity_147_human_missing,feature__nuCpos_Occup_147_yeast_missing,feature__nuCpos_Viterbi_147_yeast_missing,feature__nuCpos_Affinity_147_yeast_missing,feature__VanDerHeijden_missing,feature__LeNupH3Q85C_missing",212,56908.0078125,0.0,634779.25,True,59450,0,16020,268,3089287.5,0.0,268,1544643.875
