run_id,predeclared_run_id,graph_schema,architecture,grna_target_id,rows,positives,positive_rate,mean_score,min_score,max_score
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R1_mask_target_sequence,S7E_R1_mask_target_sequence,graph_c_context_observation,gatv2,1018,4,4,1.0,0.9258049428462982,0.9073710441589355,0.9625362157821655
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R1_mask_target_sequence,S7E_R1_mask_target_sequence,graph_c_context_observation,gatv2,1026,2,2,1.0,0.43910640478134155,0.29752904176712036,0.5806837677955627
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R1_mask_target_sequence,S7E_R1_mask_target_sequence,graph_c_context_observation,gatv2,1028,15,1,0.06666666666666667,0.115740138789018,0.10515885800123215,0.14417560398578644
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R1_mask_target_sequence,S7E_R1_mask_target_sequence,graph_c_context_observation,gatv2,1044,13,1,0.07692307692307693,0.08167195205505078,0.0709112212061882,0.09846760332584381
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R1_mask_target_sequence,S7E_R1_mask_target_sequence,graph_c_context_observation,gatv2,10597,2,2,1.0,0.2764342203736305,0.17136462032794952,0.3815038204193115
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R1_mask_target_sequence,S7E_R1_mask_target_sequence,graph_c_context_observation,gatv2,10599,33,33,1.0,0.5542139185197426,0.3602360486984253,0.7810059785842896
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R1_mask_target_sequence,S7E_R1_mask_target_sequence,graph_c_context_observation,gatv2,1060,15,2,0.13333333333333333,0.09334289282560349,0.0668780580163002,0.11626990884542465
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R1_mask_target_sequence,S7E_R1_mask_target_sequence,graph_c_context_observation,gatv2,1088,13,1,0.07692307692307693,0.17132972410091987,0.12875759601593018,0.27262115478515625
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R1_mask_target_sequence,S7E_R1_mask_target_sequence,graph_c_context_observation,gatv2,10957,4,4,1.0,0.6896876394748688,0.5999789237976074,0.8119656443595886
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R1_mask_target_sequence,S7E_R1_mask_target_sequence,graph_c_context_observation,gatv2,10990,20,20,1.0,0.16179979853332044,0.08668185770511627,0.4322047233581543
