run_id,predeclared_run_id,role,source,sprint,label_scheme,split_id,seed,training_regime,model_name,architecture,feature_set,graph_schema,visibility_policy,target_node_representation,loss,checkpoint_policy,checkpoint_selection_split,threshold_policy,threshold_selection_split,edge_feature_sets,edge_feature_columns,edge_aware_attention,attention_heads,attention_concat,attention_dropout,drop_context_similarity_edges,target_observation_mask_families,test_positive_rate,test_auprc,test_auroc,test_macro_f1,test_mcc,test_specificity,test_sensitivity,test_tn,test_fp,test_fn,test_tp,notes,run_order,controlled_variable,threshold,best_epoch,epochs_ran,best_val_auprc,self_loop_edge_fill,gatv2_share_weights,edge_blind_candidate_attention,mask_target_observation_features,parameter_count,baseline_reference,baseline_test_auprc,baseline_test_auroc,baseline_test_mcc,graph_artifact_manifest_schema,graph_artifact_split_id,weighted_bce_pos_weight,use_compile,use_amp,target_semantics,val_rows,val_positive_rate,val_auprc,val_auroc,val_f1,val_macro_f1,val_mcc,val_specificity,val_sensitivity,val_tn,val_fp,val_fn,val_tp,val_precision_at_100,val_precision_at_500,val_precision_at_top_1pct,val_recall_at_fpr_1pct,val_recall_at_fpr_5pct,val_recall_at_fpr_10pct,test_rows,test_f1,test_precision_at_100,test_precision_at_500,test_precision_at_top_1pct,test_recall_at_fpr_1pct,test_recall_at_fpr_5pct,test_recall_at_fpr_10pct
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_REF_XGB_F4,S7E_REF_XGB_F4,carry_forward_reference_no_retrain,Sprint 2 XGBoost F4 baseline,sprint7e,scheme_a,sprint2_main_seed42,42,measured_only,xgboost_unweighted_f4_reference,xgboost,F4,tabular_reference,,,unweighted,,,,,,135,,,,,,,0.900705,0.992522,0.938416,,0.345198,,,38,131,21,1512,Carry-forward matched-contract reference; not retrained in Sprint 7E runner.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_REF_GRAPH_A_GCN,S7E_REF_GRAPH_A_GCN,carry_forward_reference_no_retrain,Sprint 6 S6R0 weighted-BCE Graph A GCN,sprint7e,scheme_a,sprint2_main_seed42,42,measured_only,gcn_graph_a_sprint6_reference,gcn,S5F2_energy,graph_a_minimal_physical_target,strict_inductive_primary,zero_type_feature,weighted_bce,validation_auprc,validation,validation_max_f1,validation,s5f2_energy,268,,,,,,,0.900705052878966,0.9769354874465136,0.81997244062576,0.698938679245283,0.4837190779130979,0.2899408284023668,0.9960861056751468,49,120,6,1527,Carry-forward matched-contract reference; not retrained in Sprint 7E runner.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_REF_GRAPH_C_GCN,S7E_REF_GRAPH_C_GCN,carry_forward_reference_no_retrain,Sprint 5B Graph C S5F2 GCN,sprint7e,scheme_a,sprint2_main_seed42,42,measured_only,gcn_graph_c_sprint5b_reference,gcn,S5F2_energy,graph_c_context_observation,strict_inductive_primary,target_observation_context_encoder,weighted_bce,validation_auprc,validation,validation_max_f1,validation,s5f2_energy,268,,,,,,,0.900705052878966,0.9724807715237014,0.8362185759446032,0.5524418815729426,0.2742871878127822,0.0828402366863905,1.0,14,155,0,1533,Carry-forward matched-contract reference; not retrained in Sprint 7E runner.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_REF_FULL_GRAPH_C_GATV2,S7E_REF_FULL_GRAPH_C_GATV2,carry_forward_reference_no_retrain,,sprint7e,scheme_a,sprint2_main_seed42,42,measured_only,gatv2_graph_c_sprint7b_full_reference,gatv2,S5F2_energy,graph_c_context_observation,strict_inductive_primary,target_observation_context_encoder,weighted_bce,validation_auprc,validation,validation_max_f1,validation,s5f2_energy,268,True,4.0,True,0.2,,,0.900705052878966,0.9690784629692156,0.8497049139831014,0.7395258352355261,0.5317742313743393,0.3727810650887574,0.9921722113502937,63,106,12,1521,Carry-forward matched-contract reference; not retrained in Sprint 7E runner.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_REF_NO_CONTEXT_EDGE_GATV2,S7E_REF_NO_CONTEXT_EDGE_GATV2,carry_forward_reference_no_retrain,Sprint 7D S7D_R1 Graph C GATv2 no-context-edges,sprint7e,scheme_a,sprint2_main_seed42,42,measured_only,gatv2_graph_c_sprint7d_no_context_reference,gatv2,S5F2_energy,graph_c_context_observation,strict_inductive_primary,target_observation_context_encoder,weighted_bce,validation_auprc,validation,validation_max_f1,validation,s5f2_energy,268,,,,,,,0.900705,0.965598,0.850137,0.73391,0.51797,0.366864,0.990868,62,107,14,1519,Carry-forward matched-contract reference; not retrained in Sprint 7E runner.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R1_mask_target_sequence,S7E_R1_mask_target_sequence,graph_c_gatv2_target_sequence_one_hot_masked,,sprint7e,scheme_a,sprint2_main_seed42,42,measured_only,gatv2_graph_c_sprint7e_mask_target_sequence,gatv2,S5F2_energy,graph_c_context_observation,strict_inductive_primary,target_observation_context_encoder,weighted_bce,validation_auprc,validation,validation_max_f1,validation,s5f2_energy,268,True,4.0,True,0.2,True,target_sequence_one_hot,0.900705052878966,0.9701509491180553,0.9001339370148642,0.7153951915573558,0.48959736254113456,0.33136094674556216,0.9915198956294846,56,113,13,1520,"graph_c_context_observation GATv2Conv path with dynamic attention; candidate edge features enter attention via edge_attr/edge_dim when edge_aware_attention=True; self-loop edge features are zero-filled; no test-driven selection; Sprint 7D ablation: context_similar_to edges dropped, target_observation families masked: target_sequence_one_hot",6,target_observation_feature_family_mask,0.109819695353508,22.0,37.0,0.9690273679951095,0.0,False,False,False,277889.0,xgboost_unweighted / F4,0.992522,0.938416,0.345198,graph_c_context_observation,sprint2_main_seed42,0.12674075365066528,True,True,observation_level_context_target,1734.0,0.8713956170703575,0.9690273679951095,0.8413398901330453,0.9360902255639098,0.5984798953906505,0.29207001568192636,0.16143497757847533,0.9887491727332892,36.0,187.0,17.0,1494.0,0.97,0.988,1.0,0.0641958967571145,0.5797485109199206,0.6353408338848445,1702.0,0.9602021478205938,0.93,0.984,0.6111111111111112,0.0019569471624266144,0.5472928897586432,0.7632093933463796
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R2_mask_experimental_epigenetic,S7E_R2_mask_experimental_epigenetic,graph_c_gatv2_experimental_epigenetic_masked,,sprint7e,scheme_a,sprint2_main_seed42,42,measured_only,gatv2_graph_c_sprint7e_mask_experimental_epigenetic,gatv2,S5F2_energy,graph_c_context_observation,strict_inductive_primary,target_observation_context_encoder,weighted_bce,validation_auprc,validation,validation_max_f1,validation,s5f2_energy,268,True,4.0,True,0.2,True,experimental_epigenetic,0.900705052878966,0.8853206408005234,0.3508956796628029,0.47355397463656046,-0.011388402605370043,0.0,0.9986953685583823,0,169,2,1531,"graph_c_context_observation GATv2Conv path with dynamic attention; candidate edge features enter attention via edge_attr/edge_dim when edge_aware_attention=True; self-loop edge features are zero-filled; no test-driven selection; Sprint 7D ablation: context_similar_to edges dropped, target_observation families masked: experimental_epigenetic",7,target_observation_feature_family_mask,0.1728678196668625,1.0,16.0,0.8908999865638971,0.0,False,False,False,277889.0,xgboost_unweighted / F4,0.992522,0.938416,0.345198,graph_c_context_observation,sprint2_main_seed42,0.12674075365066528,True,True,observation_level_context_target,1734.0,0.8713956170703575,0.8908999865638971,0.5443518829035503,0.9312788906009245,0.46563944530046225,0.0,0.0,1.0,0.0,223.0,0.0,1511.0,0.95,0.878,1.0,0.05029781601588352,0.09199205823957644,0.14493712772998016,1702.0,0.9471079492731209,1.0,0.832,1.0,0.11937377690802348,0.13894324853228962,0.16634050880626222
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R3_mask_computed_nucleosome_aggregates,S7E_R3_mask_computed_nucleosome_aggregates,graph_c_gatv2_computed_nucleosome_aggregates_masked,,sprint7e,scheme_a,sprint2_main_seed42,42,measured_only,gatv2_graph_c_sprint7e_mask_computed_nucleosome_aggregates,gatv2,S5F2_energy,graph_c_context_observation,strict_inductive_primary,target_observation_context_encoder,weighted_bce,validation_auprc,validation,validation_max_f1,validation,s5f2_energy,268,True,4.0,True,0.2,True,computed_nucleosome_aggregates,0.900705052878966,0.9559152207424239,0.7282429547972225,0.7167527421517725,0.5118076157689601,0.31952662721893493,0.9960861056751468,54,115,6,1527,"graph_c_context_observation GATv2Conv path with dynamic attention; candidate edge features enter attention via edge_attr/edge_dim when edge_aware_attention=True; self-loop edge features are zero-filled; no test-driven selection; Sprint 7D ablation: context_similar_to edges dropped, target_observation families masked: computed_nucleosome_aggregates",8,target_observation_feature_family_mask,0.10628874599933624,72.0,87.0,0.9789728462977447,0.0,False,False,False,277889.0,xgboost_unweighted / F4,0.992522,0.938416,0.345198,graph_c_context_observation,sprint2_main_seed42,0.12674075365066528,True,True,observation_level_context_target,1734.0,0.8713956170703575,0.9789728462977447,0.8967778889043873,0.9395173926668756,0.6213832450699,0.34767013103762695,0.18834080717488788,0.9920582395764395,42.0,181.0,12.0,1499.0,1.0,0.988,1.0,0.10787557908669755,0.6055592322964924,0.8398411647915288,1702.0,0.9618897637795275,0.97,0.986,1.0,0.04435746901500326,0.42400521852576645,0.44031311154598823
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R4_mask_computed_nucleosome_missingness,S7E_R4_mask_computed_nucleosome_missingness,graph_c_gatv2_computed_nucleosome_missingness_masked,,sprint7e,scheme_a,sprint2_main_seed42,42,measured_only,gatv2_graph_c_sprint7e_mask_computed_nucleosome_missingness,gatv2,S5F2_energy,graph_c_context_observation,strict_inductive_primary,target_observation_context_encoder,weighted_bce,validation_auprc,validation,validation_max_f1,validation,s5f2_energy,268,True,4.0,True,0.2,True,computed_nucleosome_missingness,0.900705052878966,0.9499467845540258,0.7469748375965446,0.6650505411933089,0.44756217877480825,0.23076923076923078,0.9986953685583823,39,130,2,1531,"graph_c_context_observation GATv2Conv path with dynamic attention; candidate edge features enter attention via edge_attr/edge_dim when edge_aware_attention=True; self-loop edge features are zero-filled; no test-driven selection; Sprint 7D ablation: context_similar_to edges dropped, target_observation families masked: computed_nucleosome_missingness",9,target_observation_feature_family_mask,0.05562194436788559,62.0,77.0,0.9795818322501608,0.0,False,False,False,277889.0,xgboost_unweighted / F4,0.992522,0.938416,0.345198,graph_c_context_observation,sprint2_main_seed42,0.12674075365066528,True,True,observation_level_context_target,1734.0,0.8713956170703575,0.9795818322501608,0.9010752241410523,0.9398836457659987,0.7212787212787213,0.45568231705773465,0.42152466367713004,0.9622766379880874,94.0,129.0,57.0,1454.0,1.0,0.99,1.0,0.099933818663137,0.5916611515552614,0.800794176042356,1702.0,0.9586725109580463,0.93,0.982,0.6111111111111112,0.002609262883235486,0.31245923026744943,0.4279191128506197
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R5_mask_all_nonsequence_context,S7E_R5_mask_all_nonsequence_context,graph_c_gatv2_all_nonsequence_context_masked,,sprint7e,scheme_a,sprint2_main_seed42,42,measured_only,gatv2_graph_c_sprint7e_mask_all_nonsequence_context,gatv2,S5F2_energy,graph_c_context_observation,strict_inductive_primary,target_observation_context_encoder,weighted_bce,validation_auprc,validation,validation_max_f1,validation,s5f2_energy,268,True,4.0,True,0.2,True,all_nonsequence_context,0.900705052878966,0.8906602707310771,0.3895212620186277,0.47355397463656046,-0.011388402605370043,0.0,0.9986953685583823,0,169,2,1531,"graph_c_context_observation GATv2Conv path with dynamic attention; candidate edge features enter attention via edge_attr/edge_dim when edge_aware_attention=True; self-loop edge features are zero-filled; no test-driven selection; Sprint 7D ablation: context_similar_to edges dropped, target_observation families masked: all_nonsequence_context",10,target_observation_feature_family_mask,0.18829305469989777,1.0,16.0,0.8654522914855161,0.0,False,False,False,277889.0,xgboost_unweighted / F4,0.992522,0.938416,0.345198,graph_c_context_observation,sprint2_main_seed42,0.12674075365066528,True,True,observation_level_context_target,1734.0,0.8713956170703575,0.8654522190941762,0.434760931049731,0.9312788906009245,0.46563944530046225,0.0,0.0,1.0,0.0,223.0,0.0,1511.0,0.95,0.842,1.0,0.05757776307081403,0.07478491065519524,0.09463931171409662,1702.0,0.9471079492731209,1.0,0.842,1.0,0.10371819960861056,0.13763861709067188,0.15590345727332028
