run_id,predeclared_run_id,graph_schema,architecture,grna_target_id,rows,positives,positive_rate,mean_score,min_score,max_score
sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R1_unified_deep_context_encoder,S7F_R1_unified_deep_context_encoder,graph_c_context_observation,gatv2,1018,4,4,1.0,0.8407350331544876,0.6952188611030579,0.9533848166465759
sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R1_unified_deep_context_encoder,S7F_R1_unified_deep_context_encoder,graph_c_context_observation,gatv2,1026,2,2,1.0,0.9395487606525421,0.9025444984436035,0.9765530228614807
sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R1_unified_deep_context_encoder,S7F_R1_unified_deep_context_encoder,graph_c_context_observation,gatv2,1028,15,1,0.06666666666666667,0.0469601284712553,0.03008168749511242,0.07747022807598114
sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R1_unified_deep_context_encoder,S7F_R1_unified_deep_context_encoder,graph_c_context_observation,gatv2,1044,13,1,0.07692307692307693,0.044804527782476865,0.028473258018493652,0.058604154735803604
sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R1_unified_deep_context_encoder,S7F_R1_unified_deep_context_encoder,graph_c_context_observation,gatv2,10597,2,2,1.0,0.1605204902589321,0.05196788161993027,0.26907309889793396
sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R1_unified_deep_context_encoder,S7F_R1_unified_deep_context_encoder,graph_c_context_observation,gatv2,10599,33,33,1.0,0.9778845310211182,0.9272310137748718,0.995233952999115
sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R1_unified_deep_context_encoder,S7F_R1_unified_deep_context_encoder,graph_c_context_observation,gatv2,1060,15,2,0.13333333333333333,0.060764695331454274,0.027396658435463905,0.1297902911901474
sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R1_unified_deep_context_encoder,S7F_R1_unified_deep_context_encoder,graph_c_context_observation,gatv2,1088,13,1,0.07692307692307693,0.03446590527892113,0.024377571418881416,0.06851384043693542
sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R1_unified_deep_context_encoder,S7F_R1_unified_deep_context_encoder,graph_c_context_observation,gatv2,10957,4,4,1.0,0.8682139813899994,0.8101142048835754,0.9426202178001404
sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R1_unified_deep_context_encoder,S7F_R1_unified_deep_context_encoder,graph_c_context_observation,gatv2,10990,20,20,1.0,0.15776819325983524,0.068401038646698,0.5702603459358215
sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R1_unified_deep_context_encoder,S7F_R1_unified_deep_context_encoder,graph_c_context_observation,gatv2,11012,8,8,1.0,0.6184537336230278,0.3694188892841339,0.9475544095039368
sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R1_unified_deep_context_encoder,S7F_R1_unified_deep_context_encoder,graph_c_context_observation,gatv2,11173,145,145,1.0,0.9977482117455582,0.949670672416687,0.9997668862342834
sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R1_unified_deep_context_encoder,S7F_R1_unified_deep_context_encoder,graph_c_context_observation,gatv2,1120,15,1,0.06666666666666667,0.09379211862881978,0.08380270004272461,0.11852703988552094
