run_id,predeclared_run_id,graph_schema,architecture,score_decile,rows,positives,positive_rate,mean_score,min_score,max_score
sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R1_unified_deep_context_encoder,S7F_R1_unified_deep_context_encoder,graph_c_context_observation,gatv2,1,171,164,0.9590643274853801,0.9987317940645051,0.9979175925254822,0.9997668862342834
sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R1_unified_deep_context_encoder,S7F_R1_unified_deep_context_encoder,graph_c_context_observation,gatv2,2,170,169,0.9941176470588236,0.9892437507124509,0.9688752293586731,0.9979063272476196
sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R1_unified_deep_context_encoder,S7F_R1_unified_deep_context_encoder,graph_c_context_observation,gatv2,3,170,170,1.0,0.9431839076911702,0.9117246270179749,0.9688135981559753
sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R1_unified_deep_context_encoder,S7F_R1_unified_deep_context_encoder,graph_c_context_observation,gatv2,4,170,170,1.0,0.7875370274571811,0.6458492875099182,0.9111965894699097
sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R1_unified_deep_context_encoder,S7F_R1_unified_deep_context_encoder,graph_c_context_observation,gatv2,5,170,169,0.9941176470588236,0.5492924800690483,0.4755738377571106,0.6376625895500183
sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R1_unified_deep_context_encoder,S7F_R1_unified_deep_context_encoder,graph_c_context_observation,gatv2,6,170,169,0.9941176470588236,0.417178612947464,0.3304160237312317,0.4753897786140442
sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R1_unified_deep_context_encoder,S7F_R1_unified_deep_context_encoder,graph_c_context_observation,gatv2,7,170,136,0.8,0.23629432031336953,0.18362246453762054,0.32981395721435547
sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R1_unified_deep_context_encoder,S7F_R1_unified_deep_context_encoder,graph_c_context_observation,gatv2,8,170,144,0.8470588235294118,0.16338579102474102,0.14695431292057037,0.183316171169281
sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R1_unified_deep_context_encoder,S7F_R1_unified_deep_context_encoder,graph_c_context_observation,gatv2,9,170,157,0.9235294117647059,0.13473401876056895,0.12269630283117294,0.14684979617595673
sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R1_unified_deep_context_encoder,S7F_R1_unified_deep_context_encoder,graph_c_context_observation,gatv2,10,171,85,0.49707602339181284,0.08210530569940283,0.024377571418881416,0.12265177071094513
sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R2_family_aware_context_encoder,S7F_R2_family_aware_context_encoder,graph_c_context_observation,gatv2,1,171,164,0.9590643274853801,0.9808000998887402,0.9258533120155334,0.9980698227882385
