run_id,predeclared_run_id,target_context_encoder_type,target_context_family,branch_dim,activation_l2_mean,family_gate_enabled,family_gate_weight_mean
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R0_base_reference,S8A_R0_base_reference,family_aware_experimental_emphasis,target_sequence_one_hot,24,3.4890313148498535,False,1.0
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R0_base_reference,S8A_R0_base_reference,family_aware_experimental_emphasis,experimental_epigenetic,48,4.911853790283203,False,1.0
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R0_base_reference,S8A_R0_base_reference,family_aware_experimental_emphasis,computed_nucleosome_aggregates,40,4.537468433380127,False,1.0
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R0_base_reference,S8A_R0_base_reference,family_aware_experimental_emphasis,computed_nucleosome_missingness,16,2.3647165298461914,False,1.0
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R1_family_gated_v2,S8A_R1_family_gated_v2,family_aware_experimental_emphasis,target_sequence_one_hot,24,3.5700767040252686,True,0.44026464223861694
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R1_family_gated_v2,S8A_R1_family_gated_v2,family_aware_experimental_emphasis,experimental_epigenetic,48,4.9166741371154785,True,0.555387556552887
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R1_family_gated_v2,S8A_R1_family_gated_v2,family_aware_experimental_emphasis,computed_nucleosome_aggregates,40,4.501011371612549,True,0.5696769952774048
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R1_family_gated_v2,S8A_R1_family_gated_v2,family_aware_experimental_emphasis,computed_nucleosome_missingness,16,2.373533248901367,True,0.5439363718032837
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R2_context_edge_film,S8A_R2_context_edge_film,family_aware_experimental_emphasis,target_sequence_one_hot,24,3.47446870803833,False,1.0
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R2_context_edge_film,S8A_R2_context_edge_film,family_aware_experimental_emphasis,experimental_epigenetic,48,4.920483589172363,False,1.0
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R2_context_edge_film,S8A_R2_context_edge_film,family_aware_experimental_emphasis,computed_nucleosome_aggregates,40,4.542446613311768,False,1.0
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R2_context_edge_film,S8A_R2_context_edge_film,family_aware_experimental_emphasis,computed_nucleosome_missingness,16,2.3228564262390137,False,1.0
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R3_gated_plus_film,S8A_R3_gated_plus_film,family_aware_experimental_emphasis,target_sequence_one_hot,24,3.5572915077209473,True,0.4199526309967041
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R3_gated_plus_film,S8A_R3_gated_plus_film,family_aware_experimental_emphasis,experimental_epigenetic,48,4.904364585876465,True,0.5485072135925293
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R3_gated_plus_film,S8A_R3_gated_plus_film,family_aware_experimental_emphasis,computed_nucleosome_aggregates,40,4.541530609130859,True,0.5887069702148438
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R3_gated_plus_film,S8A_R3_gated_plus_film,family_aware_experimental_emphasis,computed_nucleosome_missingness,16,2.3951361179351807,True,0.5445644855499268
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R4_regularized_exp_branch,S8A_R4_regularized_exp_branch,family_aware_experimental_emphasis,target_sequence_one_hot,24,3.5689213275909424,False,1.0
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R4_regularized_exp_branch,S8A_R4_regularized_exp_branch,family_aware_experimental_emphasis,experimental_epigenetic,48,4.916453838348389,False,1.0
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R4_regularized_exp_branch,S8A_R4_regularized_exp_branch,family_aware_experimental_emphasis,computed_nucleosome_aggregates,40,4.4672532081604,False,1.0
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R4_regularized_exp_branch,S8A_R4_regularized_exp_branch,family_aware_experimental_emphasis,computed_nucleosome_missingness,16,2.686652660369873,False,1.0
