run_id,predeclared_run_id,target_context_encoder_type,family_gate,context_edge_interaction,test_auprc,delta_auprc_vs_s7f_r3_base,delta_mcc_vs_s7f_r3_base,delta_mcc_vs_s7f_r2,delta_auprc_vs_graph_a_gcn,delta_auprc_vs_xgboost_f4,test_mcc,test_specificity,test_tn,test_fp
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_REF_XGB_F4,S8A_REF_XGB_F4,,,,0.992522,0.007577000000000056,-0.22290999999999994,-0.25829100000000005,0.015587000000000018,0.0,0.345198,,38,131
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_REF_GRAPH_A_GCN,S8A_REF_GRAPH_A_GCN,,,,0.976935,-0.008009999999999962,-0.08438899999999994,-0.11977000000000004,0.0,-0.015587000000000018,0.483719,0.289941,49,120
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_REF_GRAPH_C_GCN,S8A_REF_GRAPH_C_GCN,,,,0.972481,-0.01246399999999992,-0.29382099999999994,-0.32920200000000005,-0.004453999999999958,-0.020040999999999976,0.274287,0.08284,14,155
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_REF_FULL_GRAPH_C_GATV2,S8A_REF_FULL_GRAPH_C_GATV2,,,,0.969078,-0.015866999999999964,-0.03633399999999998,-0.07171500000000008,-0.007857000000000003,-0.02344400000000002,0.531774,0.372781,63,106
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_REF_NO_CTX_EDGE_GATV2,S8A_REF_NO_CTX_EDGE_GATV2,,,,0.965598,-0.019347000000000003,-0.050137999999999905,-0.08551900000000001,-0.011337000000000041,-0.02692400000000006,0.51797,0.366864,62,107
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_REF_S7F_R2,S8A_REF_S7F_R2,family_aware,,,0.982062,-0.002882999999999969,0.03538100000000011,0.0,0.005126999999999993,-0.010460000000000025,0.603489,0.650888,110,59
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_REF_S7F_R3,S8A_REF_S7F_R3,family_aware_experimental_emphasis,,,0.984945,0.0,0.0,-0.03538100000000011,0.008009999999999962,-0.007577000000000056,0.568108,0.497041,84,85
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R0_base_reference,S8A_R0_base_reference,family_aware_experimental_emphasis,False,none,0.9755959671927963,-0.009349032807203672,-0.20193737605375245,-0.23731837605375256,-0.0013390328072037105,-0.016926032807203728,0.3661706239462475,0.15976331360946747,27,142
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R1_family_gated_v2,S8A_R1_family_gated_v2,family_aware_experimental_emphasis,True,none,0.9769552747288806,-0.007989725271119408,-0.18394289652706336,-0.21932389652706347,2.0274728880553816e-05,-0.015566725271119464,0.3841651034729366,0.31952662721893493,54,115
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R2_context_edge_film,S8A_R2_context_edge_film,family_aware_experimental_emphasis,False,film,0.9827569522755897,-0.0021880477244102803,-0.004452057843460588,-0.039833057843460695,0.005821952275589681,-0.009765047724410336,0.5636559421565394,0.5207100591715976,88,81
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R3_gated_plus_film,S8A_R3_gated_plus_film,family_aware_experimental_emphasis,True,film,0.979898982477782,-0.005046017522218005,-0.2646766159350117,-0.3000576159350118,0.0029639824777819568,-0.01262301752221806,0.30343138406498826,0.21893491124260356,37,132
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R4_regularized_exp_branch,S8A_R4_regularized_exp_branch,family_aware_experimental_emphasis,False,none,0.975686798825135,-0.009258201174864977,-0.1788972102768382,-0.2142782102768383,-0.0012482011748650157,-0.016835201174865033,0.38921078972316175,0.4437869822485207,75,94
