run_id,predeclared_run_id,score_decile,rows,positives,positive_rate,mean_score
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R0_base_reference,S8A_R0_base_reference,1,171,164,0.9590643274853801,0.9526980446096052
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R0_base_reference,S8A_R0_base_reference,2,170,169,0.9941176470588236,0.8164388814393212
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R0_base_reference,S8A_R0_base_reference,3,170,170,1.0,0.6960219355190501
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R0_base_reference,S8A_R0_base_reference,4,170,170,1.0,0.6151495923014249
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R0_base_reference,S8A_R0_base_reference,5,170,170,1.0,0.5394351780414581
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R0_base_reference,S8A_R0_base_reference,6,170,170,1.0,0.43811388313770294
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R0_base_reference,S8A_R0_base_reference,7,170,168,0.9882352941176471,0.2034505828338511
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R0_base_reference,S8A_R0_base_reference,8,170,165,0.9705882352941176,0.1319403258316657
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R0_base_reference,S8A_R0_base_reference,9,170,118,0.6941176470588235,0.0991862028837204
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R0_base_reference,S8A_R0_base_reference,10,171,69,0.40350877192982454,0.06238808611418769
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R1_family_gated_v2,S8A_R1_family_gated_v2,1,171,167,0.9766081871345029,0.9669585217509353
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R1_family_gated_v2,S8A_R1_family_gated_v2,2,170,167,0.9823529411764705,0.8710010184961207
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R1_family_gated_v2,S8A_R1_family_gated_v2,3,170,167,0.9823529411764705,0.8031487321152406
