run_id,predeclared_run_id,graph_schema,architecture,target_context_encoder_type,family_gate,context_edge_interaction,test_auprc,test_auroc,test_macro_f1,test_mcc,test_specificity,test_sensitivity,test_tn,test_fp,test_fn,test_tp
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_REF_XGB_F4,S8A_REF_XGB_F4,tabular_reference,xgboost,,,,0.992522,0.938416,0.6427,0.345198,,,38,131,21,1512
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_REF_GRAPH_A_GCN,S8A_REF_GRAPH_A_GCN,graph_a_minimal_physical_target,gcn,,,,0.976935,0.819972,0.698939,0.483719,0.289941,0.996087,49,120,6,1527
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_REF_GRAPH_C_GCN,S8A_REF_GRAPH_C_GCN,graph_c_context_observation,gcn,,,,0.972481,0.836219,0.552442,0.274287,0.08284,1.0,14,155,0,1533
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_REF_FULL_GRAPH_C_GATV2,S8A_REF_FULL_GRAPH_C_GATV2,graph_c_context_observation,gatv2,,,,0.969078,0.849705,0.739526,0.531774,0.372781,0.992172,63,106,12,1521
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_REF_NO_CTX_EDGE_GATV2,S8A_REF_NO_CTX_EDGE_GATV2,graph_c_context_observation,gatv2,,,,0.965598,0.850137,0.73391,0.51797,0.366864,0.990868,62,107,14,1519
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_REF_S7F_R2,S8A_REF_S7F_R2,graph_c_context_observation,gatv2,family_aware,,,0.982062,0.906557,0.801716,0.603489,0.650888,0.958904,110,59,63,1470
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_REF_S7F_R3,S8A_REF_S7F_R3,graph_c_context_observation,gatv2,family_aware_experimental_emphasis,,,0.984945,0.926551,0.777185,0.568108,0.497041,0.979778,84,85,31,1502
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R0_base_reference,S8A_R0_base_reference,graph_c_context_observation,gatv2,family_aware_experimental_emphasis,False,none,0.9755959671927963,0.9138402868645229,0.6139057449101117,0.3661706239462475,0.15976331360946747,0.9986953685583823,27,142,2,1531
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R1_family_gated_v2,S8A_R1_family_gated_v2,graph_c_context_observation,gatv2,family_aware_experimental_emphasis,True,none,0.9769552747288806,0.8677574620672619,0.6806495231108739,0.3841651034729366,0.31952662721893493,0.9739073711676451,54,115,40,1493
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R2_context_edge_film,S8A_R2_context_edge_film,graph_c_context_observation,gatv2,family_aware_experimental_emphasis,False,film,0.9827569522755897,0.9105748484041424,0.777992277992278,0.5636559421565394,0.5207100591715976,0.974559686888454,88,81,39,1494
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R3_gated_plus_film,S8A_R3_gated_plus_film,graph_c_context_observation,gatv2,family_aware_experimental_emphasis,True,film,0.979898982477782,0.8850766374475544,0.6303840102107839,0.30343138406498826,0.21893491124260356,0.9797782126549249,37,132,31,1502
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R4_regularized_exp_branch,S8A_R4_regularized_exp_branch,graph_c_context_observation,gatv2,family_aware_experimental_emphasis,False,none,0.975686798825135,0.8256734484342492,0.6945834714934951,0.38921078972316175,0.4437869822485207,0.9412915851272016,75,94,90,1443
