run_id,predeclared_run_id,graph_schema,model_name,architecture,split,layer,head,edge_kind,edge_count,attention_mean,attention_std,attention_min,attention_max
sprint8a_smoke_20260611_000947_S8A_R0_base_reference,S8A_R0_base_reference,graph_c_context_observation,gatv2_graph_c_sprint8a_base_reference,gatv2,test,0,0,candidate_forward,9712,0.3939144015312195,0.1893741339445114,0.06298254430294037,0.986625075340271
sprint8a_smoke_20260611_000947_S8A_R0_base_reference,S8A_R0_base_reference,graph_c_context_observation,gatv2_graph_c_sprint8a_base_reference,gatv2,test,0,0,candidate_reverse,9712,0.012092758901417255,0.03974643722176552,0.00010754526010714471,0.8448317050933838
sprint8a_smoke_20260611_000947_S8A_R0_base_reference,S8A_R0_base_reference,graph_c_context_observation,gatv2_graph_c_sprint8a_base_reference,gatv2,test,0,0,self_loop,9839,0.5992335677146912,0.1977408230304718,0.00031857253634370863,0.9370175004005432
sprint8a_smoke_20260611_000947_S8A_R0_base_reference,S8A_R0_base_reference,graph_c_context_observation,gatv2_graph_c_sprint8a_base_reference,gatv2,test,0,1,candidate_forward,9712,0.039588358253240585,0.041704028844833374,2.056618995993631e-06,0.5168816447257996
sprint8a_smoke_20260611_000947_S8A_R0_base_reference,S8A_R0_base_reference,graph_c_context_observation,gatv2_graph_c_sprint8a_base_reference,gatv2,test,0,1,candidate_reverse,9712,0.005659810733050108,0.013809308409690857,2.581789715350169e-08,0.2820034325122833
sprint8a_smoke_20260611_000947_S8A_R0_base_reference,S8A_R0_base_reference,graph_c_context_observation,gatv2_graph_c_sprint8a_base_reference,gatv2,test,0,1,self_loop,9839,0.955335795879364,0.06756019592285156,0.019153529778122902,0.9999979734420776
sprint8a_smoke_20260611_000947_S8A_R0_base_reference,S8A_R0_base_reference,graph_c_context_observation,gatv2_graph_c_sprint8a_base_reference,gatv2,test,0,2,candidate_forward,9712,0.8925963044166565,0.05062342807650566,0.33415549993515015,0.9997909665107727
sprint8a_smoke_20260611_000947_S8A_R0_base_reference,S8A_R0_base_reference,graph_c_context_observation,gatv2_graph_c_sprint8a_base_reference,gatv2,test,0,2,candidate_reverse,9712,0.012800932861864567,0.042267877608537674,5.007103936804924e-06,0.9406192302703857
sprint8a_smoke_20260611_000947_S8A_R0_base_reference,S8A_R0_base_reference,graph_c_context_observation,gatv2_graph_c_sprint8a_base_reference,gatv2,test,0,2,self_loop,9839,0.10628946125507355,0.0514213889837265,1.2481385056162253e-05,0.6658445000648499
sprint8a_smoke_20260611_000947_S8A_R0_base_reference,S8A_R0_base_reference,graph_c_context_observation,gatv2_graph_c_sprint8a_base_reference,gatv2,test,0,3,candidate_forward,9712,0.9375132918357849,0.0611829049885273,0.1993325799703598,0.997989296913147
sprint8a_smoke_20260611_000947_S8A_R0_base_reference,S8A_R0_base_reference,graph_c_context_observation,gatv2_graph_c_sprint8a_base_reference,gatv2,test,0,3,candidate_reverse,9712,0.012924140319228172,0.043407849967479706,1.3389203559199814e-05,0.9617666006088257
sprint8a_smoke_20260611_000947_S8A_R0_base_reference,S8A_R0_base_reference,graph_c_context_observation,gatv2_graph_c_sprint8a_base_reference,gatv2,test,0,3,self_loop,9839,0.061830610036849976,0.0611661896109581,5.385410531744128e-06,0.8006673455238342
sprint8a_smoke_20260611_000947_S8A_R0_base_reference,S8A_R0_base_reference,graph_c_context_observation,gatv2_graph_c_sprint8a_base_reference,gatv2,test,1,0,candidate_forward,9712,0.3858067989349365,0.2015296220779419,9.278777724830434e-05,0.9564083814620972
sprint8a_smoke_20260611_000947_S8A_R0_base_reference,S8A_R0_base_reference,graph_c_context_observation,gatv2_graph_c_sprint8a_base_reference,gatv2,test,1,0,candidate_reverse,9712,0.009323189035058022,0.02248000167310238,1.3187567446948378e-06,0.3463141620159149
sprint8a_smoke_20260611_000947_S8A_R0_base_reference,S8A_R0_base_reference,graph_c_context_observation,gatv2_graph_c_sprint8a_base_reference,gatv2,test,1,0,self_loop,9839,0.6099702715873718,0.20567458868026733,0.0012603234499692917,0.9999072551727295
sprint8a_smoke_20260611_000947_S8A_R0_base_reference,S8A_R0_base_reference,graph_c_context_observation,gatv2_graph_c_sprint8a_base_reference,gatv2,test,1,1,candidate_forward,9712,0.9931150674819946,0.008416066877543926,0.8584620356559753,0.999962568283081
sprint8a_smoke_20260611_000947_S8A_R0_base_reference,S8A_R0_base_reference,graph_c_context_observation,gatv2_graph_c_sprint8a_base_reference,gatv2,test,1,1,candidate_reverse,9712,0.013075754046440125,0.045895084738731384,2.3703671104158275e-05,0.99978107213974
sprint8a_smoke_20260611_000947_S8A_R0_base_reference,S8A_R0_base_reference,graph_c_context_observation,gatv2_graph_c_sprint8a_base_reference,gatv2,test,1,1,self_loop,9839,0.0067969514057040215,0.008396949619054794,9.684024604439401e-08,0.14153790473937988
sprint8a_smoke_20260611_000947_S8A_R0_base_reference,S8A_R0_base_reference,graph_c_context_observation,gatv2_graph_c_sprint8a_base_reference,gatv2,test,1,2,candidate_forward,9712,0.5254771709442139,0.28009504079818726,0.002304221736267209,0.9987244009971619
sprint8a_smoke_20260611_000947_S8A_R0_base_reference,S8A_R0_base_reference,graph_c_context_observation,gatv2_graph_c_sprint8a_base_reference,gatv2,test,1,2,candidate_reverse,9712,0.012289321050047874,0.055296093225479126,1.1134834494441748e-06,0.9789446592330933
sprint8a_smoke_20260611_000947_S8A_R0_base_reference,S8A_R0_base_reference,graph_c_context_observation,gatv2_graph_c_sprint8a_base_reference,gatv2,test,1,2,self_loop,9839,0.4691748023033142,0.28261497616767883,0.0002956088865175843,0.9976957440376282
