run_id,predeclared_run_id,role,source,sprint,label_scheme,split_id,seed,training_regime,model_name,architecture,feature_set,graph_schema,visibility_policy,target_node_representation,loss,checkpoint_policy,threshold_policy,edge_feature_columns,target_context_encoder_type,family_gate,context_edge_interaction,test_positive_rate,test_auprc,test_auroc,test_macro_f1,test_mcc,test_specificity,test_sensitivity,test_tn,test_fp,test_fn,test_tp,parameter_count,notes,run_order,controlled_variable,gate_reduction,checkpoint_selection_split,threshold_selection_split,threshold,best_epoch,epochs_ran,best_val_auprc,edge_feature_sets,edge_aware_attention,attention_heads,attention_concat,attention_dropout,self_loop_edge_fill,gatv2_share_weights,drop_context_similarity_edges,edge_blind_candidate_attention,mask_target_observation_features,target_observation_mask_families,experimental_branch_bottleneck,experimental_branch_feature_dropout,interaction_edge_dim,baseline_reference,baseline_test_auprc,baseline_test_auroc,baseline_test_mcc,graph_artifact_manifest_schema,graph_artifact_split_id,weighted_bce_pos_weight,use_compile,use_amp,target_semantics,val_rows,val_positive_rate,val_auprc,val_auroc,val_f1,val_macro_f1,val_mcc,val_specificity,val_sensitivity,val_tn,val_fp,val_fn,val_tp,val_precision_at_100,val_precision_at_500,val_precision_at_top_1pct,val_recall_at_fpr_1pct,val_recall_at_fpr_5pct,val_recall_at_fpr_10pct,test_rows,test_f1,test_precision_at_100,test_precision_at_500,test_precision_at_top_1pct,test_recall_at_fpr_1pct,test_recall_at_fpr_5pct,test_recall_at_fpr_10pct
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_REF_XGB_F4,S8A_REF_XGB_F4,carry_forward_reference_no_retrain,Sprint 2 XGBoost F4 baseline,sprint8a,scheme_a,sprint2_main_seed42,42,measured_only,xgboost_unweighted_f4_reference,xgboost,F4,tabular_reference,,,unweighted,,,135,,,,0.900705,0.992522,0.938416,0.6427,0.345198,,,38,131,21,1512,,Carry-forward matched-contract reference; not retrained in Sprint 8A runner.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_REF_GRAPH_A_GCN,S8A_REF_GRAPH_A_GCN,carry_forward_reference_no_retrain,Sprint 6 S6R0 weighted-BCE Graph A GCN,sprint8a,scheme_a,sprint2_main_seed42,42,measured_only,gcn_graph_a_reference,gcn,S5F2_energy,graph_a_minimal_physical_target,strict_inductive_primary,zero_type_feature,weighted_bce,validation_auprc,validation_max_f1,268,,,,0.900705,0.976935,0.819972,0.698939,0.483719,0.289941,0.996087,49,120,6,1527,,Carry-forward matched-contract reference; not retrained in Sprint 8A runner.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_REF_GRAPH_C_GCN,S8A_REF_GRAPH_C_GCN,carry_forward_reference_no_retrain,Sprint 5B Graph C S5F2 GCN,sprint8a,scheme_a,sprint2_main_seed42,42,measured_only,gcn_graph_c_sprint5b_reference,gcn,S5F2_energy,graph_c_context_observation,strict_inductive_primary,target_observation_context_encoder,weighted_bce,validation_auprc,validation_max_f1,268,,,,0.900705,0.972481,0.836219,0.552442,0.274287,0.08284,1.0,14,155,0,1533,,Carry-forward matched-contract reference; not retrained in Sprint 8A runner.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_REF_FULL_GRAPH_C_GATV2,S8A_REF_FULL_GRAPH_C_GATV2,carry_forward_reference_no_retrain,Sprint 7B S7B_R3 full Graph C GATv2,sprint8a,scheme_a,sprint2_main_seed42,42,measured_only,gatv2_graph_c_sprint7b_full_reference,gatv2,S5F2_energy,graph_c_context_observation,strict_inductive_primary,target_observation_context_encoder,weighted_bce,validation_auprc,validation_max_f1,268,,,,0.900705,0.969078,0.849705,0.739526,0.531774,0.372781,0.992172,63,106,12,1521,,Carry-forward matched-contract reference; not retrained in Sprint 8A runner.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_REF_NO_CTX_EDGE_GATV2,S8A_REF_NO_CTX_EDGE_GATV2,carry_forward_reference_no_retrain,Sprint 7D S7D_R1 Graph C GATv2 no-context-edge,sprint8a,scheme_a,sprint2_main_seed42,42,measured_only,gatv2_graph_c_sprint7d_no_context_reference,gatv2,S5F2_energy,graph_c_context_observation,strict_inductive_primary,target_observation_context_encoder,weighted_bce,validation_auprc,validation_max_f1,268,,,,0.900705,0.965598,0.850137,0.73391,0.51797,0.366864,0.990868,62,107,14,1519,,Carry-forward matched-contract reference; not retrained in Sprint 8A runner.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_REF_S7F_R2,S8A_REF_S7F_R2,carry_forward_reference_no_retrain,Sprint 7F R2 balanced family-aware,sprint8a,scheme_a,sprint2_main_seed42,42,measured_only,gatv2_graph_c_sprint7f_r2_reference,gatv2,S5F2_energy,graph_c_context_observation,strict_inductive_primary,target_observation_context_encoder,weighted_bce,validation_auprc,validation_max_f1,268,family_aware,,,0.900705,0.982062,0.906557,0.801716,0.603489,0.650888,0.958904,110,59,63,1470,,Carry-forward matched-contract reference; not retrained in Sprint 8A runner.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_REF_S7F_R3,S8A_REF_S7F_R3,carry_forward_reference_no_retrain,Sprint 7F R3 family-aware experimental-emphasis (canonical base),sprint8a,scheme_a,sprint2_main_seed42,42,measured_only,gatv2_graph_c_sprint7f_r3_reference,gatv2,S5F2_energy,graph_c_context_observation,strict_inductive_primary,target_observation_context_encoder,weighted_bce,validation_auprc,validation_max_f1,268,family_aware_experimental_emphasis,,,0.900705,0.984945,0.926551,0.777185,0.568108,0.497041,0.979778,84,85,31,1502,,Carry-forward matched-contract reference; not retrained in Sprint 8A runner.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R0_base_reference,S8A_R0_base_reference,graph_c_gatv2_base_reference_reproduces_s7f_r3,,sprint8a,scheme_a,sprint2_main_seed42,42,measured_only,gatv2_graph_c_sprint8a_base_reference,gatv2,S5F2_energy,graph_c_context_observation,strict_inductive_primary,target_observation_context_encoder,weighted_bce,validation_auprc,validation_max_f1,268,family_aware_experimental_emphasis,False,none,0.900705052878966,0.9755959671927963,0.9138402868645229,0.6139057449101117,0.3661706239462475,0.15976331360946747,0.9986953685583823,27,142,2,1531,274153,"graph_c_context_observation GATv2Conv path with dynamic attention; candidate edge features enter attention via edge_attr/edge_dim when edge_aware_attention=True; self-loop edge features are zero-filled; no test-driven selection; Sprint 7D ablation: context_similar_to edges dropped, target_context_encoder=family_aware_experimental_emphasis",8,target_context_interaction_delta,4.0,validation,validation,0.047379277646541595,29.0,44.0,0.9818421935715542,s5f2_energy,True,4.0,True,0.2,0.0,False,True,False,False,,,0.0,64.0,xgboost_unweighted / F4,0.992522,0.938416,0.345198,graph_c_context_observation,sprint2_main_seed42,0.12674075365066528,True,True,observation_level_context_target,1734.0,0.8713956170703575,0.9818421935715542,0.9148427228723295,0.9387755102040817,0.6802311285960168,0.3973505844998262,0.31390134529147984,0.9741892786234282,70.0,153.0,39.0,1472.0,0.99,0.984,1.0,0.10390469887491727,0.7954996690933157,0.8821972203838517,1702.0,0.9550842170929508,0.93,0.984,0.8888888888888888,0.006523157208088715,0.746249184605349,0.8793215916503587
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R1_family_gated_v2,S8A_R1_family_gated_v2,graph_c_gatv2_learned_family_gate,,sprint8a,scheme_a,sprint2_main_seed42,42,measured_only,gatv2_graph_c_sprint8a_family_gated_v2,gatv2,S5F2_energy,graph_c_context_observation,strict_inductive_primary,target_observation_context_encoder,weighted_bce,validation_auprc,validation_max_f1,268,family_aware_experimental_emphasis,True,none,0.900705052878966,0.9769552747288806,0.8677574620672619,0.6806495231108739,0.3841651034729366,0.31952662721893493,0.9739073711676451,54,115,40,1493,278413,"graph_c_context_observation GATv2Conv path with dynamic attention; candidate edge features enter attention via edge_attr/edge_dim when edge_aware_attention=True; self-loop edge features are zero-filled; no test-driven selection; Sprint 7D ablation: context_similar_to edges dropped, target_context_encoder=family_aware_experimental_emphasis",9,target_context_interaction_delta,4.0,validation,validation,0.16770267486572266,8.0,23.0,0.985136977301733,s5f2_energy,True,4.0,True,0.2,0.0,False,True,False,False,,,0.0,64.0,xgboost_unweighted / F4,0.992522,0.938416,0.345198,graph_c_context_observation,sprint2_main_seed42,0.12674075365066528,True,True,observation_level_context_target,1734.0,0.8713956170703575,0.9851369706303618,0.9113763640626438,0.9424320827943079,0.7345139137375795,0.48178670177988137,0.4439461883408072,0.9642620780939775,99.0,124.0,54.0,1457.0,1.0,0.996,1.0,0.4228987425545996,0.6757114493712773,0.7677035076108537,1702.0,0.9506526583890481,1.0,0.98,1.0,0.10176125244618395,0.253750815394651,0.5212002609262884
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R2_context_edge_film,S8A_R2_context_edge_film,graph_c_gatv2_context_edge_film_interaction,,sprint8a,scheme_a,sprint2_main_seed42,42,measured_only,gatv2_graph_c_sprint8a_context_edge_film,gatv2,S5F2_energy,graph_c_context_observation,strict_inductive_primary,target_observation_context_encoder,weighted_bce,validation_auprc,validation_max_f1,268,family_aware_experimental_emphasis,False,film,0.900705052878966,0.9827569522755897,0.9105748484041424,0.777992277992278,0.5636559421565394,0.5207100591715976,0.974559686888454,88,81,39,1494,381866,"graph_c_context_observation GATv2Conv path with dynamic attention; candidate edge features enter attention via edge_attr/edge_dim when edge_aware_attention=True; self-loop edge features are zero-filled; no test-driven selection; Sprint 7D ablation: context_similar_to edges dropped, target_context_encoder=family_aware_experimental_emphasis",10,target_context_interaction_delta,4.0,validation,validation,0.13780668377876282,15.0,30.0,0.9874964811232743,s5f2_energy,True,4.0,True,0.2,0.0,False,True,False,False,,,0.0,64.0,xgboost_unweighted / F4,0.992522,0.938416,0.345198,graph_c_context_observation,sprint2_main_seed42,0.12674075365066528,True,True,observation_level_context_target,1734.0,0.8713956170703575,0.9874964811232743,0.929907138384285,0.9438511884257664,0.8276778066022638,0.6797970362058191,0.9013452914798207,0.9066843150231635,201.0,22.0,141.0,1370.0,1.0,0.996,1.0,0.443414956982131,0.886168100595632,0.9066843150231635,1702.0,0.9613899613899614,1.0,0.984,1.0,0.09067188519243313,0.8330071754729289,0.8369210697977821
