registry_id,sprint,n_test_guides,n_boot,ci,seed,mean_unique_guides_per_replicate,mean_negative_bearing_guides_per_replicate,dominant_guide,dominant_guide_inclusion_rate,auprc_undefined_rate,auroc_undefined_rate,mcc_undefined_rate,specificity_undefined_rate,macro_f1_undefined_rate
S7F_R1,sprint7f,29,5000,0.95,12345,18.5192,5.741,9251,0.6366,0.0,0.0,0.0,0.0,0.0
S7F_R2,sprint7f,29,5000,0.95,12345,18.5192,5.741,9251,0.6366,0.0,0.0,0.0,0.0,0.0
S7F_R3,sprint7f,29,5000,0.95,12345,18.5192,5.741,9251,0.6366,0.0,0.0,0.0,0.0,0.0
S8A_R0,sprint8a,29,5000,0.95,12345,18.5192,5.741,9251,0.6366,0.0,0.0,0.0,0.0,0.0
S8A_R1,sprint8a,29,5000,0.95,12345,18.5192,5.741,9251,0.6366,0.0,0.0,0.0,0.0,0.0
S8A_R2,sprint8a,29,5000,0.95,12345,18.5192,5.741,9251,0.6366,0.0,0.0,0.0,0.0,0.0
S8A_R3,sprint8a,29,5000,0.95,12345,18.5192,5.741,9251,0.6366,0.0,0.0,0.0,0.0,0.0
S8A_R4,sprint8a,29,5000,0.95,12345,18.5192,5.741,9251,0.6366,0.0,0.0,0.0,0.0,0.0
S8B_R1,sprint8b,29,5000,0.95,12345,18.5192,5.741,9251,0.6366,0.0,0.0,0.0,0.0,0.0
S8B_R2,sprint8b,29,5000,0.95,12345,18.5192,5.741,9251,0.6366,0.0,0.0,0.0,0.0,0.0
XGB_F4,sprint2,29,5000,0.95,12345,18.5192,5.741,9251,0.6366,0.0,0.0,0.0,0.0,0.0
