run_id,predeclared_run_id,graph_schema,architecture,score_decile,rows,positives,positive_rate,mean_score,min_score,max_score
sprint9_multiseed_S7F_R3_seed2024_S7F_R3_family_aware_experimental_emphasis,S7F_R3_family_aware_experimental_emphasis,graph_c_context_observation,gatv2,1,171,171,1.0,0.9708062999429758,0.856992244720459,0.9967128038406372
sprint9_multiseed_S7F_R3_seed2024_S7F_R3_family_aware_experimental_emphasis,S7F_R3_family_aware_experimental_emphasis,graph_c_context_observation,gatv2,2,170,157,0.9235294117647059,0.6702828035635107,0.5489934086799622,0.8542348146438599
sprint9_multiseed_S7F_R3_seed2024_S7F_R3_family_aware_experimental_emphasis,S7F_R3_family_aware_experimental_emphasis,graph_c_context_observation,gatv2,3,170,169,0.9941176470588236,0.4518646562800688,0.365182101726532,0.5488196015357971
sprint9_multiseed_S7F_R3_seed2024_S7F_R3_family_aware_experimental_emphasis,S7F_R3_family_aware_experimental_emphasis,graph_c_context_observation,gatv2,4,170,165,0.9705882352941176,0.31675240923376646,0.2809416651725769,0.36462152004241943
sprint9_multiseed_S7F_R3_seed2024_S7F_R3_family_aware_experimental_emphasis,S7F_R3_family_aware_experimental_emphasis,graph_c_context_observation,gatv2,5,170,165,0.9705882352941176,0.25950937428895166,0.2396656721830368,0.2808516323566437
sprint9_multiseed_S7F_R3_seed2024_S7F_R3_family_aware_experimental_emphasis,S7F_R3_family_aware_experimental_emphasis,graph_c_context_observation,gatv2,6,170,159,0.9352941176470588,0.2235975386465297,0.2070792019367218,0.23946118354797363
sprint9_multiseed_S7F_R3_seed2024_S7F_R3_family_aware_experimental_emphasis,S7F_R3_family_aware_experimental_emphasis,graph_c_context_observation,gatv2,7,170,157,0.9235294117647059,0.1923015962628757,0.1787676066160202,0.20703652501106262
sprint9_multiseed_S7F_R3_seed2024_S7F_R3_family_aware_experimental_emphasis,S7F_R3_family_aware_experimental_emphasis,graph_c_context_observation,gatv2,8,170,151,0.888235294117647,0.16380722356193206,0.14795073866844177,0.17874287068843842
sprint9_multiseed_S7F_R3_seed2024_S7F_R3_family_aware_experimental_emphasis,S7F_R3_family_aware_experimental_emphasis,graph_c_context_observation,gatv2,9,170,140,0.8235294117647058,0.13029301385669148,0.1088222786784172,0.14762501418590546
sprint9_multiseed_S7F_R3_seed2024_S7F_R3_family_aware_experimental_emphasis,S7F_R3_family_aware_experimental_emphasis,graph_c_context_observation,gatv2,10,171,99,0.5789473684210527,0.07766341376635763,0.03426366299390793,0.10875105857849121
