run_id,predeclared_run_id,score_decile,rows,positives,positive_rate,mean_score
sprint9_multiseed_S8A_R2_seed42_S8A_R2_context_edge_film,S8A_R2_context_edge_film,1,171,164,0.9590643274853801,0.9763526756163926
sprint9_multiseed_S8A_R2_seed42_S8A_R2_context_edge_film,S8A_R2_context_edge_film,2,170,169,0.9941176470588236,0.7550656315158395
sprint9_multiseed_S8A_R2_seed42_S8A_R2_context_edge_film,S8A_R2_context_edge_film,3,170,170,1.0,0.6142532474854413
sprint9_multiseed_S8A_R2_seed42_S8A_R2_context_edge_film,S8A_R2_context_edge_film,4,170,170,1.0,0.550548684947631
sprint9_multiseed_S8A_R2_seed42_S8A_R2_context_edge_film,S8A_R2_context_edge_film,5,170,170,1.0,0.4876202476375243
sprint9_multiseed_S8A_R2_seed42_S8A_R2_context_edge_film,S8A_R2_context_edge_film,6,170,170,1.0,0.39811786272946526
sprint9_multiseed_S8A_R2_seed42_S8A_R2_context_edge_film,S8A_R2_context_edge_film,7,170,170,1.0,0.27783689358655145
sprint9_multiseed_S8A_R2_seed42_S8A_R2_context_edge_film,S8A_R2_context_edge_film,8,170,170,1.0,0.264165002282928
sprint9_multiseed_S8A_R2_seed42_S8A_R2_context_edge_film,S8A_R2_context_edge_film,9,170,121,0.711764705882353,0.17765838994699365
sprint9_multiseed_S8A_R2_seed42_S8A_R2_context_edge_film,S8A_R2_context_edge_film,10,171,59,0.34502923976608185,0.10060748900150696
