registry_id,sprint,metric,point,percentile_lo,percentile_hi,bca_lo,bca_hi,bca_trusted,bca_note,undefined_rate,n_unique_samples,frac_at_upper_bound,shape_flag,interval_type,threshold,threshold_metric,n_test_guides,n_boot,ci,seed,no_skill_baseline
S7F_R1,sprint7f,auprc,0.9692010771770274,0.893811106612494,0.9998933159682183,0.8755424257257594,0.999826807814388,True,ok,0.0,4999,0.0022,ok,guide_cluster_finite_sample_compatibility,0.0535975694656372,False,29,5000,0.95,12345,0.900705
S7F_R1,sprint7f,auroc,0.8487650389652498,0.6612007669691166,0.9973671979160823,0.5613205052349431,0.9938690022296398,True,ok,0.0,4999,0.0004,ok,guide_cluster_finite_sample_compatibility,0.0535975694656372,False,29,5000,0.95,12345,0.900705
S7F_R1,sprint7f,mcc,0.5004602380209762,0.24613377589416147,0.8426329997247002,0.13488943744310272,0.7887276990663599,False,dominated_by_one_guide,0.0,4998,0.0,ok,guide_cluster_finite_sample_compatibility,0.0535975694656372,True,29,5000,0.95,12345,0.900705
S7F_R1,sprint7f,specificity,0.30177514792899407,0.08540672277411412,0.783789189189189,0.02364631483500832,0.6825396825396826,False,dominated_by_one_guide,0.0,3502,0.0004,ok,guide_cluster_finite_sample_compatibility,0.0535975694656372,True,29,5000,0.95,12345,0.900705
S7F_R1,sprint7f,macro_f1,0.7073209604697493,0.5409213749628462,0.9189062735195996,0.4861451915433119,0.8904100405771329,False,dominated_by_one_guide,0.0,4998,0.0002,ok,guide_cluster_finite_sample_compatibility,0.0535975694656372,True,29,5000,0.95,12345,0.900705
S7F_R2,sprint7f,auprc,0.9820615421641292,0.9146897312811856,0.9992421162707367,0.9226438223966427,0.9994962470770918,False,dominated_by_one_guide,0.0,5000,0.001,ok,guide_cluster_finite_sample_compatibility,0.0997944846749305,False,29,5000,0.95,12345,0.900705
S7F_R2,sprint7f,auroc,0.9065567379582131,0.7376744183252241,0.987704928943635,0.7260181831468928,0.9860179017882609,False,dominated_by_one_guide,0.0,5000,0.0,ok,guide_cluster_finite_sample_compatibility,0.0997944846749305,False,29,5000,0.95,12345,0.900705
S7F_R2,sprint7f,mcc,0.603488686060613,0.42591050421921617,0.8826797718860541,0.3714410581860779,0.8433250123105919,False,dominated_by_one_guide,0.0,5000,0.0,ok,guide_cluster_finite_sample_compatibility,0.0997944846749305,True,29,5000,0.95,12345,0.900705
S7F_R2,sprint7f,specificity,0.650887573964497,0.4955484780706021,0.9000609756097553,0.43596785176940156,0.8592404279233471,False,dominated_by_one_guide,0.0,2989,0.0044,ok,guide_cluster_finite_sample_compatibility,0.0997944846749305,True,29,5000,0.95,12345,0.900705
S7F_R2,sprint7f,macro_f1,0.8017158070442817,0.7119044888153493,0.9400607673583878,0.6857059562495623,0.9211384646277682,False,dominated_by_one_guide,0.0,5000,0.0,ok,guide_cluster_finite_sample_compatibility,0.0997944846749305,True,29,5000,0.95,12345,0.900705
