record_type,registry_id,predeclared_run_id,runner_type,seed,status,output_dir,run_id,threshold_selection_split,expected_seeds,observed_seeds,missing_seeds,n_observed_seeds,val_auprc,test_auprc,test_auroc,test_mcc,test_specificity,test_macro_f1,test_tn,test_fp,test_fn,test_tp,threshold,metric,mean,std,min,max,all_values
missing_seed,S8A_R2,S8A_R2_context_edge_film,sprint8a,42.0,missing_output,outputs/sprint9/multiseed/S8A_R2_context_edge_film/seed_42,,,"42,7,13,123,2024",,42,0,,,,,,,,,,,,,,,,,
missing_seed,S8A_R2,S8A_R2_context_edge_film,sprint8a,7.0,missing_output,outputs/sprint9/multiseed/S8A_R2_context_edge_film/seed_7,,,"42,7,13,123,2024",,7,0,,,,,,,,,,,,,,,,,
missing_seed,S8A_R2,S8A_R2_context_edge_film,sprint8a,13.0,missing_output,outputs/sprint9/multiseed/S8A_R2_context_edge_film/seed_13,,,"42,7,13,123,2024",,13,0,,,,,,,,,,,,,,,,,
missing_seed,S8A_R2,S8A_R2_context_edge_film,sprint8a,123.0,missing_output,outputs/sprint9/multiseed/S8A_R2_context_edge_film/seed_123,,,"42,7,13,123,2024",,123,0,,,,,,,,,,,,,,,,,
missing_seed,S8A_R2,S8A_R2_context_edge_film,sprint8a,2024.0,missing_output,outputs/sprint9/multiseed/S8A_R2_context_edge_film/seed_2024,,,"42,7,13,123,2024",,2024,0,,,,,,,,,,,,,,,,,
summary,S8A_R2,S8A_R2_context_edge_film,sprint8a,,partial,,,,"42,7,13,123,2024",,"42,7,13,123,2024",0,,,,,,,,,,,,val_auprc,,,,,
summary,S8A_R2,S8A_R2_context_edge_film,sprint8a,,partial,,,,"42,7,13,123,2024",,"42,7,13,123,2024",0,,,,,,,,,,,,test_auprc,,,,,
summary,S8A_R2,S8A_R2_context_edge_film,sprint8a,,partial,,,,"42,7,13,123,2024",,"42,7,13,123,2024",0,,,,,,,,,,,,test_auroc,,,,,
summary,S8A_R2,S8A_R2_context_edge_film,sprint8a,,partial,,,,"42,7,13,123,2024",,"42,7,13,123,2024",0,,,,,,,,,,,,test_mcc,,,,,
summary,S8A_R2,S8A_R2_context_edge_film,sprint8a,,partial,,,,"42,7,13,123,2024",,"42,7,13,123,2024",0,,,,,,,,,,,,test_specificity,,,,,
summary,S8A_R2,S8A_R2_context_edge_film,sprint8a,,partial,,,,"42,7,13,123,2024",,"42,7,13,123,2024",0,,,,,,,,,,,,test_macro_f1,,,,,
summary,S8A_R2,S8A_R2_context_edge_film,sprint8a,,partial,,,,"42,7,13,123,2024",,"42,7,13,123,2024",0,,,,,,,,,,,,test_tn,,,,,
summary,S8A_R2,S8A_R2_context_edge_film,sprint8a,,partial,,,,"42,7,13,123,2024",,"42,7,13,123,2024",0,,,,,,,,,,,,test_fp,,,,,
summary,S8A_R2,S8A_R2_context_edge_film,sprint8a,,partial,,,,"42,7,13,123,2024",,"42,7,13,123,2024",0,,,,,,,,,,,,test_fn,,,,,
summary,S8A_R2,S8A_R2_context_edge_film,sprint8a,,partial,,,,"42,7,13,123,2024",,"42,7,13,123,2024",0,,,,,,,,,,,,test_tp,,,,,
summary,S8A_R2,S8A_R2_context_edge_film,sprint8a,,partial,,,,"42,7,13,123,2024",,"42,7,13,123,2024",0,,,,,,,,,,,,threshold,,,,,
missing_seed,S8B_R2,S8B_R2_sequence_plus_context,sprint8b,42.0,missing_output,outputs/sprint9/multiseed/S8B_R2_sequence_plus_context/seed_42,,,"42,7,13,123,2024",,42,0,,,,,,,,,,,,,,,,,
missing_seed,S8B_R2,S8B_R2_sequence_plus_context,sprint8b,7.0,missing_output,outputs/sprint9/multiseed/S8B_R2_sequence_plus_context/seed_7,,,"42,7,13,123,2024",,7,0,,,,,,,,,,,,,,,,,
missing_seed,S8B_R2,S8B_R2_sequence_plus_context,sprint8b,13.0,missing_output,outputs/sprint9/multiseed/S8B_R2_sequence_plus_context/seed_13,,,"42,7,13,123,2024",,13,0,,,,,,,,,,,,,,,,,
missing_seed,S8B_R2,S8B_R2_sequence_plus_context,sprint8b,123.0,missing_output,outputs/sprint9/multiseed/S8B_R2_sequence_plus_context/seed_123,,,"42,7,13,123,2024",,123,0,,,,,,,,,,,,,,,,,
missing_seed,S8B_R2,S8B_R2_sequence_plus_context,sprint8b,2024.0,missing_output,outputs/sprint9/multiseed/S8B_R2_sequence_plus_context/seed_2024,,,"42,7,13,123,2024",,2024,0,,,,,,,,,,,,,,,,,
summary,S8B_R2,S8B_R2_sequence_plus_context,sprint8b,,partial,,,,"42,7,13,123,2024",,"42,7,13,123,2024",0,,,,,,,,,,,,val_auprc,,,,,
summary,S8B_R2,S8B_R2_sequence_plus_context,sprint8b,,partial,,,,"42,7,13,123,2024",,"42,7,13,123,2024",0,,,,,,,,,,,,test_auprc,,,,,
summary,S8B_R2,S8B_R2_sequence_plus_context,sprint8b,,partial,,,,"42,7,13,123,2024",,"42,7,13,123,2024",0,,,,,,,,,,,,test_auroc,,,,,
summary,S8B_R2,S8B_R2_sequence_plus_context,sprint8b,,partial,,,,"42,7,13,123,2024",,"42,7,13,123,2024",0,,,,,,,,,,,,test_mcc,,,,,
summary,S8B_R2,S8B_R2_sequence_plus_context,sprint8b,,partial,,,,"42,7,13,123,2024",,"42,7,13,123,2024",0,,,,,,,,,,,,test_specificity,,,,,
summary,S8B_R2,S8B_R2_sequence_plus_context,sprint8b,,partial,,,,"42,7,13,123,2024",,"42,7,13,123,2024",0,,,,,,,,,,,,test_macro_f1,,,,,
summary,S8B_R2,S8B_R2_sequence_plus_context,sprint8b,,partial,,,,"42,7,13,123,2024",,"42,7,13,123,2024",0,,,,,,,,,,,,test_tn,,,,,
summary,S8B_R2,S8B_R2_sequence_plus_context,sprint8b,,partial,,,,"42,7,13,123,2024",,"42,7,13,123,2024",0,,,,,,,,,,,,test_fp,,,,,
summary,S8B_R2,S8B_R2_sequence_plus_context,sprint8b,,partial,,,,"42,7,13,123,2024",,"42,7,13,123,2024",0,,,,,,,,,,,,test_fn,,,,,
summary,S8B_R2,S8B_R2_sequence_plus_context,sprint8b,,partial,,,,"42,7,13,123,2024",,"42,7,13,123,2024",0,,,,,,,,,,,,test_tp,,,,,
summary,S8B_R2,S8B_R2_sequence_plus_context,sprint8b,,partial,,,,"42,7,13,123,2024",,"42,7,13,123,2024",0,,,,,,,,,,,,threshold,,,,,
missing_seed,S7F_R3,S7F_R3_family_aware_experimental_emphasis,sprint7f,42.0,missing_output,outputs/sprint9/multiseed/S7F_R3_family_aware_experimental_emphasis/seed_42,,,"42,7,13,123,2024",,42,0,,,,,,,,,,,,,,,,,
missing_seed,S7F_R3,S7F_R3_family_aware_experimental_emphasis,sprint7f,7.0,missing_output,outputs/sprint9/multiseed/S7F_R3_family_aware_experimental_emphasis/seed_7,,,"42,7,13,123,2024",,7,0,,,,,,,,,,,,,,,,,
